"telemetry_date","product_type","avg_disconnects","crash_rate","avg_temp_c","rows"
2025-10-20,Earbuds,0.375,0.0000,31.07,18
2024-06-03,Home Theater,0.000,0.0000,29.13,9
2024-01-02,Home Theater,0.200,0.0000,32.93,7
2025-02-12,Portable PA,0.000,0.1667,26.42,6
2024-05-16,Speakers,0.250,0.0000,32.70,5
2024-11-11,Earbuds,0.538,0.0000,33.02,16
2025-03-13,Headphones,0.368,0.0068,31.50,149
2025-06-27,Portable PA,0.200,0.0000,34.17,10
2024-11-13,Earbuds,0.393,0.0357,31.47,29
2024-06-30,Headphones,0.434,0.0238,32.24,169
2024-03-21,Speakers,0.250,0.0000,31.88,4
2024-04-06,Headphones,0.386,0.0118,31.07,174
2024-03-20,Aviation Headsets,0.000,0.0000,27.00,1
2025-06-01,Speakers,0.500,0.0000,27.03,6
2025-09-15,Portable PA,0.667,0.0000,33.00,4
2024-03-25,Home Theater,0.000,0.0000,33.53,6
2024-04-08,Portable PA,0.222,0.0000,33.85,10
2025-03-17,Portable PA,0.333,0.0000,33.60,7
2025-10-10,Earbuds,0.600,0.0000,32.49,15
2025-08-11,Headphones,0.400,0.0181,32.03,169
2024-09-16,Portable PA,0.000,0.0000,37.50,1
2025-08-21,Home Theater,0.000,0.0000,32.81,12
2025-10-28,Portable PA,0.200,0.0000,28.20,5
2024-02-18,Headphones,0.482,0.0321,31.87,156
2024-03-17,Speakers,0.571,0.0000,28.80,7
2025-02-09,Headphones,0.372,0.0062,32.14,165
2025-04-26,Earbuds,0.118,0.0000,33.37,19
2025-12-30,Home Theater,0.000,0.0000,29.36,9
2024-03-08,Home Theater,0.125,0.0000,31.57,16
2024-11-09,Home Theater,0.143,0.0000,32.48,8
2024-07-10,Portable PA,0.000,0.0000,34.96,5
2025-06-30,Portable PA,0.200,0.0000,31.95,6
2025-06-25,Earbuds,0.500,0.0000,29.05,22
2024-04-10,Headphones,0.444,0.0061,32.08,167
2025-10-15,Earbuds,0.278,0.0000,29.79,19
2024-06-29,Home Theater,0.200,0.0000,35.80,10
2024-03-21,Portable PA,0.000,0.0000,21.43,4
2024-08-11,Portable PA,0.200,0.0000,32.49,11
2025-02-21,Aviation Headsets,0.000,0.0000,32.90,2
2024-06-11,Portable PA,0.000,0.0000,33.28,5
2025-08-08,Portable PA,0.200,0.0000,33.52,5
2024-07-31,Speakers,0.200,0.0000,31.25,6
2025-01-22,Earbuds,0.389,0.0000,32.24,18
2024-07-16,Earbuds,0.316,0.0000,31.85,23
2024-12-07,Headphones,0.343,0.0133,32.46,153
2025-10-31,Speakers,0.600,0.0000,32.95,6
2025-04-13,Earbuds,0.480,0.0000,35.45,29
2025-10-30,Portable PA,0.167,0.0000,29.35,6
2025-01-14,Speakers,0.750,0.0000,30.93,8
2024-06-11,Home Theater,0.000,0.0000,34.82,11
2025-03-07,Home Theater,0.000,0.0000,32.83,6
2024-08-21,Headphones,0.393,0.0134,31.25,151
2024-10-19,Home Theater,0.200,0.0000,35.03,10
2024-01-07,Home Theater,0.444,0.0000,28.19,9
2025-12-28,Portable PA,0.167,0.0000,34.70,7
2025-04-24,Speakers,0.333,0.0000,35.30,4
2024-08-15,Home Theater,0.000,0.0000,28.76,8
2025-10-12,Headphones,0.447,0.0133,30.36,154
2025-10-01,Home Theater,0.143,0.0000,31.36,9
2025-09-22,Earbuds,0.091,0.0000,33.33,13
2025-09-20,Home Theater,0.000,0.0000,31.87,11
2024-01-12,Speakers,1.000,0.0000,28.83,4
2025-08-23,Speakers,0.667,0.0000,25.17,3
2024-02-09,Aviation Headsets,0.333,0.0000,30.38,4
2025-03-03,Earbuds,0.625,0.0417,32.12,25
2024-12-21,Speakers,0.500,0.0000,30.05,2
2024-07-18,Portable PA,0.000,0.0000,36.90,2
2025-07-29,Headphones,0.370,0.0179,32.18,170
2025-08-23,Portable PA,0.000,0.0000,26.60,4
2024-03-03,Aviation Headsets,0.000,0.0000,30.90,1
2024-02-21,Earbuds,0.462,0.0000,32.29,15
2025-03-25,Portable PA,0.167,0.0000,31.59,8
2024-06-10,Portable PA,0.250,0.0000,29.02,6
2024-06-20,Speakers,0.200,0.2000,31.16,5
2025-10-19,Speakers,0.000,0.0000,24.90,2
