"event_date","sales_channel_id","channel_name","product_type","add_to_cart","product_view","pv_to_atc_rate","atc_to_purchase_rate"
2024-01-01,SC-001,Online DTC,Earbuds,0,3,0.0,
2024-01-01,SC-001,Online DTC,Headphones,1,4,0.25,0.0
2024-01-01,SC-001,Online DTC,Home Theater,0,3,0.0,
2024-01-01,SC-001,Online DTC,Portable PA,1,0,,0.0
2024-01-01,SC-002,Mobile App,Earbuds,0,1,0.0,
2024-01-01,SC-002,Mobile App,Home Theater,0,1,0.0,
2024-01-01,SC-002,Mobile App,Speakers,0,2,0.0,
2024-01-01,SC-003,Retail Big Box,Earbuds,0,2,0.0,
2024-01-01,SC-004,Retail Specialty,Earbuds,0,1,0.0,
2024-01-01,SC-004,Retail Specialty,Speakers,0,1,0.0,
2024-01-01,SC-005,Marketplace,Speakers,0,1,0.0,
2024-01-02,SC-001,Online DTC,Earbuds,0,1,0.0,
2024-01-02,SC-001,Online DTC,Home Theater,3,0,,0.0
2024-01-02,SC-001,Online DTC,Speakers,0,1,0.0,
2024-01-02,SC-002,Mobile App,Home Theater,0,1,0.0,
2024-01-02,SC-003,Retail Big Box,Earbuds,0,1,0.0,
2024-01-02,SC-003,Retail Big Box,Home Theater,2,0,,0.0
2024-01-02,SC-003,Retail Big Box,Speakers,0,1,0.0,
2024-01-02,SC-004,Retail Specialty,Headphones,1,0,,0.0
2024-01-02,SC-005,Marketplace,Earbuds,0,1,0.0,
2024-01-02,SC-005,Marketplace,Speakers,0,1,0.0,
2024-01-02,SC-006,Distributor,Earbuds,1,0,,0.0
2024-01-02,SC-006,Distributor,Home Theater,1,0,,0.0
2024-01-02,SC-006,Distributor,Speakers,1,0,,0.0
2024-01-02,SC-007,Automotive OEM,Headphones,0,1,0.0,
2024-01-03,SC-001,Online DTC,Earbuds,0,1,0.0,
2024-01-03,SC-001,Online DTC,Headphones,2,0,,0.0
2024-01-03,SC-001,Online DTC,Home Theater,2,1,2.0,0.0
2024-01-03,SC-001,Online DTC,Portable PA,0,1,0.0,
2024-01-03,SC-001,Online DTC,Speakers,0,1,0.0,
2024-01-03,SC-002,Mobile App,Earbuds,1,1,1.0,0.0
2024-01-03,SC-002,Mobile App,Headphones,1,1,1.0,0.0
2024-01-03,SC-003,Retail Big Box,Earbuds,0,1,0.0,
2024-01-03,SC-004,Retail Specialty,Earbuds,0,2,0.0,
2024-01-03,SC-004,Retail Specialty,Headphones,0,1,0.0,
2024-01-03,SC-004,Retail Specialty,Speakers,0,1,0.0,
2024-01-03,SC-005,Marketplace,Earbuds,0,1,0.0,
2024-01-03,SC-005,Marketplace,Headphones,0,1,0.0,
2024-01-03,SC-005,Marketplace,Speakers,1,1,1.0,0.0
2024-01-03,SC-006,Distributor,Earbuds,0,1,0.0,
2024-01-03,SC-007,Automotive OEM,Headphones,0,1,0.0,
2024-01-04,SC-001,Online DTC,Earbuds,0,1,0.0,
2024-01-04,SC-001,Online DTC,Headphones,3,3,1.0,0.0
2024-01-04,SC-001,Online DTC,Portable PA,1,0,,0.0
2024-01-04,SC-002,Mobile App,Earbuds,0,1,0.0,
2024-01-04,SC-002,Mobile App,Speakers,1,0,,0.0
2024-01-04,SC-003,Retail Big Box,Earbuds,1,0,,0.0
2024-01-04,SC-003,Retail Big Box,Home Theater,1,0,,0.0
2024-01-04,SC-004,Retail Specialty,Home Theater,1,0,,0.0
2024-01-04,SC-005,Marketplace,Headphones,1,1,1.0,0.0
2024-01-04,SC-007,Automotive OEM,Earbuds,2,0,,0.0
2024-01-04,SC-007,Automotive OEM,Headphones,1,0,,0.0
2024-01-05,SC-001,Online DTC,Aviation Headsets,0,1,0.0,
2024-01-05,SC-001,Online DTC,Earbuds,0,1,0.0,
2024-01-05,SC-001,Online DTC,Headphones,0,2,0.0,
