"date","product_type","telemetry_rows","avg_disconnects","crash_rate","avg_temp_c","claims","approved_claims","claim_rate_per_1k_orders"
2025-10-20,Earbuds,18,0.375,0.0000,31.07,358,282,246.05
2024-06-03,Home Theater,9,0.000,0.0000,29.13,146,111,253.47
2024-01-02,Home Theater,7,0.200,0.0000,32.93,146,111,253.47
2025-02-12,Portable PA,6,0.000,0.1667,26.42,66,56,203.70
2024-05-16,Speakers,5,0.250,0.0000,32.70,230,182,257.85
2024-11-11,Earbuds,16,0.538,0.0000,33.02,358,282,246.05
2025-03-13,Headphones,149,0.368,0.0068,31.50,380,302,241.73
2025-06-27,Portable PA,10,0.200,0.0000,34.17,66,56,203.70
2024-11-13,Earbuds,29,0.393,0.0357,31.47,358,282,246.05
2024-06-30,Headphones,169,0.434,0.0238,32.24,380,302,241.73
2024-03-21,Speakers,4,0.250,0.0000,31.88,230,182,257.85
2024-04-06,Headphones,174,0.386,0.0118,31.07,380,302,241.73
2024-03-20,Aviation Headsets,1,0.000,0.0000,27.00,60,45,333.33
2025-06-01,Speakers,6,0.500,0.0000,27.03,230,182,257.85
2025-09-15,Portable PA,4,0.667,0.0000,33.00,66,56,203.70
2024-03-25,Home Theater,6,0.000,0.0000,33.53,146,111,253.47
2024-04-08,Portable PA,10,0.222,0.0000,33.85,66,56,203.70
2025-03-17,Portable PA,7,0.333,0.0000,33.60,66,56,203.70
2025-10-10,Earbuds,15,0.600,0.0000,32.49,358,282,246.05
2025-08-11,Headphones,169,0.400,0.0181,32.03,380,302,241.73
2024-09-16,Portable PA,1,0.000,0.0000,37.50,66,56,203.70
2025-08-21,Home Theater,12,0.000,0.0000,32.81,146,111,253.47
2025-10-28,Portable PA,5,0.200,0.0000,28.20,66,56,203.70
2024-02-18,Headphones,156,0.482,0.0321,31.87,380,302,241.73
2024-03-17,Speakers,7,0.571,0.0000,28.80,230,182,257.85
2025-02-09,Headphones,165,0.372,0.0062,32.14,380,302,241.73
2025-04-26,Earbuds,19,0.118,0.0000,33.37,358,282,246.05
2025-12-30,Home Theater,9,0.000,0.0000,29.36,146,111,253.47
2024-03-08,Home Theater,16,0.125,0.0000,31.57,146,111,253.47
2024-11-09,Home Theater,8,0.143,0.0000,32.48,146,111,253.47
2024-07-10,Portable PA,5,0.000,0.0000,34.96,66,56,203.70
