"sales_channel_id","channel_name","product_type","orders","revenue","return_rate","late_rate"
SC-001,Online DTC,Aviation Headsets,59,28155.940000000002,0.0678,0.0678
SC-001,Online DTC,Earbuds,496,234507.18000000002,0.0706,0.1996
SC-001,Online DTC,Headphones,562,215422.16000000006,0.0996,0.2011
SC-001,Online DTC,Home Theater,210,118866.06000000004,0.0857,0.2095
SC-001,Online DTC,Portable PA,111,57347.359999999964,0.1081,0.1622
SC-001,Online DTC,Speakers,307,226860.6399999999,0.0782,0.1661
SC-002,Mobile App,Aviation Headsets,27,15581.429999999995,0.0370,0.1111
SC-002,Mobile App,Earbuds,209,100269.52999999996,0.1196,0.2105
SC-002,Mobile App,Headphones,256,107305.23999999995,0.0781,0.2227
SC-002,Mobile App,Home Theater,85,55539.78,0.0706,0.2353
SC-002,Mobile App,Portable PA,41,19493.040000000005,0.0976,0.3415
SC-002,Mobile App,Speakers,140,105076.78999999995,0.0571,0.1857
SC-003,Retail Big Box,Aviation Headsets,34,14082.76,0.0882,0.1471
SC-003,Retail Big Box,Earbuds,291,126198.64000000004,0.1100,0.1959
SC-003,Retail Big Box,Headphones,268,102489.45,0.0896,0.1828
SC-003,Retail Big Box,Home Theater,87,56008.16999999999,0.1264,0.1494
SC-003,Retail Big Box,Portable PA,51,22435.949999999993,0.1176,0.1765
SC-003,Retail Big Box,Speakers,159,104393.41999999994,0.0566,0.1384
SC-004,Retail Specialty,Aviation Headsets,21,10698.850000000002,0.0476,0.2857
SC-004,Retail Specialty,Earbuds,153,71794.08,0.0915,0.1830
SC-004,Retail Specialty,Headphones,151,54208.87999999998,0.1457,0.1325
SC-004,Retail Specialty,Home Theater,61,35695.560000000005,0.1311,0.1803
SC-004,Retail Specialty,Portable PA,42,18263.840000000004,0.0714,0.1905
SC-004,Retail Specialty,Speakers,93,64288.83,0.1398,0.1505
SC-005,Marketplace,Aviation Headsets,18,7610.54,0.1111,0.1667
SC-005,Marketplace,Earbuds,110,47084.21999999999,0.1182,0.1909
SC-005,Marketplace,Headphones,128,50604.02999999999,0.1641,0.1641
SC-005,Marketplace,Home Theater,63,32039.09999999999,0.2222,0.2698
SC-005,Marketplace,Portable PA,36,17544.350000000002,0.1111,0.1944
SC-005,Marketplace,Speakers,74,49286.24,0.0946,0.2027
SC-006,Distributor,Aviation Headsets,7,1876.28,0.0000,0.0000
SC-006,Distributor,Earbuds,83,42092.530000000006,0.0964,0.1205
SC-006,Distributor,Headphones,99,35982.1,0.1212,0.1919
SC-006,Distributor,Home Theater,27,11672.840000000002,0.0370,0.2222
SC-006,Distributor,Portable PA,20,9797.070000000002,0.0500,0.3000
SC-006,Distributor,Speakers,40,26013.12,0.0000,0.1250
SC-007,Automotive OEM,Aviation Headsets,11,4697.26,0.0000,0.3636
SC-007,Automotive OEM,Earbuds,96,39379.91000000002,0.1667,0.2188
SC-007,Automotive OEM,Headphones,81,33530.64999999999,0.1358,0.1975
SC-007,Automotive OEM,Home Theater,27,13127.600000000002,0.1481,0.2593
SC-007,Automotive OEM,Portable PA,17,8234.720000000001,0.0588,0.1765
SC-007,Automotive OEM,Speakers,65,47116.72999999999,0.1077,0.2462
SC-008,Enterprise Sales,Aviation Headsets,3,1213.02,0.3333,0.3333
SC-008,Enterprise Sales,Earbuds,17,10710.729999999998,0.0000,0.1176
SC-008,Enterprise Sales,Headphones,28,10616.570000000003,0.0714,0.2857
SC-008,Enterprise Sales,Home Theater,16,9313.03,0.0625,0.1250
SC-008,Enterprise Sales,Portable PA,6,3392.2999999999997,0.0000,0.1667
SC-008,Enterprise Sales,Speakers,14,12838.46,0.0714,0.1429
