customer_id,customer_segment,region,loyalty_tier,age,signup_date
CUST-674485,Consumer,APAC,Platinum,41.0,2024-09-12
CUST-567574,Consumer,NA,Platinum,35.0,2025-05-01
CUST-266889,Automotive,EU,,32.0,2024-01-22
CUST-879779,Consumer,EU,Platinum,30.0,09/19/2025
CUST-597732,Consumer,NA,Platinum,31.0,2025-09-11
CUST-571932,Enterprise,NA,Platinum,35.0,2024-09-16
CUST-371782,Enterprise,EU,,31.0,2024-07-10
CUST-888295,Automotive,LATAM,Platinum,26.0,2024-07-04
CUST-359249,Consumer,EU,Platinum,35.0,10/08/2025
CUST-980660,Consumer,EU,Gold,24.0,2024-09-16
CUST-768636,Consumer,NA,,37.0,2024-07-02
CUST-390782,Consumer,LATAM,Silver,31.0,2025-08-25
CUST-903013,Consumer,EU,Platinum,41.0,2024-12-06
CUST-915451,Consumer,EU,,44.0,2025-04-30
CUST-646622,Consumer,APAC,,44.0,2024-04-06
CUST-608136,Consumer,NA,Silver,37.0,2024-02-17
CUST-757193,Consumer,APAC,Silver,38.0,2024-10-20
CUST-350867,Consumer,APAC,Platinum,30.0,2025-10-20
CUST-387936,Consumer,EU,Platinum,41.0,2025-08-30
CUST-561239,Consumer,NA,Platinum,42.0,2025-12-14
CUST-181247,Consumer,LATAM,,18.0,2024-02-12
CUST-848206,Consumer,EU,Gold,38.0,2025-05-01
CUST-399607,Consumer,LATAM,Gold,49.0,2024-03-20
CUST-345884,Consumer,LATAM,Gold,30.0,03/10/2025
CUST-384913,Consumer,NA,Gold,,2025-10-22
CUST-452161,Consumer,APAC,Gold,,2024-03-15
CUST-435239,Consumer,NA,Platinum,27.0,2024-11-15
CUST-666390,Automotive,LATAM,Platinum,,2025-04-10
CUST-184491,Consumer,EU,Platinum,29.0,04/29/2025
CUST-245095,Consumer,LATAM,Gold,,2024-10-25
CUST-258157,Enterprise,EU,Silver,18.0,2024-11-28
CUST-342495,Consumer,EU,Gold,35.0,2025-04-25
CUST-501641,Enterprise,NA,Gold,34.0,2025-05-20
CUST-827659,Consumer,LATAM,Platinum,36.0,08/31/2025
CUST-260227,Consumer,APAC,Platinum,38.0,2025-02-05
CUST-840734,Consumer,LATAM,Gold,25.0,2024-05-29
CUST-324345,Enterprise,LATAM,Platinum,37.0,2024-01-10
CUST-167348,Consumer,APAC,Silver,38.0,2024-02-22
CUST-535020,Automotive,NA,Platinum,28.0,2025-10-15
CUST-527398,Consumer,LATAM,Gold,38.0,2025-03-21
CUST-446954,Enterprise,LATAM,Silver,34.0,2025-01-30
CUST-668969,Consumer,EU,Gold,,2024-11-23
CUST-588557,Enterprise,LATAM,Silver,27.0,2025-04-27
CUST-535970,Consumer,APAC,Gold,37.0,2024-07-07
CUST-165290,Consumer,EU,Platinum,30.0,2024-02-04
CUST-316881,Consumer,NA,Silver,,2024-08-30
CUST-973349,Consumer,EU,Gold,41.0,2025-02-02
CUST-540552,Consumer,APAC,Platinum,31.0,2025-08-08
CUST-508396,Consumer,APAC,Silver,,2025-03-29
CUST-907189,Consumer,EU,Platinum,19.0,2025-08-25
CUST-712451,Consumer,NA,Silver,36.0,2024-12-30
CUST-829308,Enterprise,EU,Platinum,36.0,2024-09-23
CUST-120480,Enterprise,NA,Silver,22.0,2024-01-07
CUST-998348,Consumer,EU,,42.0,2025-05-25
CUST-902784,Enterprise,APAC,Platinum,41.0,2024-02-14
CUST-703655,Enterprise,LATAM,Platinum,24.0,2025-09-28
CUST-498858,Consumer,LATAM,Silver,26.0,10/28/2025
CUST-600149,Consumer,NA,Silver,32.0,2024-09-24
CUST-106182,Consumer,NA,Gold,25.0,2024-06-04
CUST-468845,Consumer,NA,Silver,41.0,2024-06-05
CUST-413118,Consumer,APAC,Gold,35.0,2024-09-22
CUST-890075,Consumer,EU,Platinum,21.0,2025-01-04
CUST-508930,Enterprise,APAC,,24.0,2024-12-29
CUST-994905,Enterprise,LATAM,Platinum,47.0,2024-09-14
CUST-976325,Consumer,NA,Platinum,,2025-03-15
CUST-539375,Consumer,EU,Silver,50.0,2025-04-23
CUST-664365,Consumer,LATAM,Silver,39.0,2024-09-12
CUST-883826,Consumer,LATAM,Silver,31.0,2024-12-18
CUST-870319,Consumer,LATAM,Silver,29.0,12/08/2025
CUST-672661,Enterprise,APAC,Gold,40.0,2024-06-19
CUST-938722,Consumer,NA,Silver,34.0,2025-05-11
CUST-732556,Enterprise,LATAM,Gold,18.0,2024-06-27
CUST-331251,Automotive,NA,Silver,45.0,2024-06-14
CUST-611945,Consumer,APAC,Platinum,48.0,2025-07-24
CUST-330080,Enterprise,LATAM,,42.0,2025-09-24
CUST-386193,Consumer,APAC,Gold,21.0,2025-07-28
CUST-557007,Consumer,APAC,Platinum,,2024-11-06
CUST-609232,Consumer,NA,Gold,26.0,2024-01-06
CUST-130434,Enterprise,LATAM,Silver,18.0,2024-02-27
CUST-507746,Consumer,APAC,Gold,51.0,2025-03-06
CUST-452457,Enterprise,LATAM,Silver,30.0,2024-08-13
CUST-801364,Enterprise,NA,Platinum,59.0,2025-05-05
CUST-812131,Consumer,APAC,Gold,55.0,2025-08-17
CUST-936912,Automotive,NA,Silver,24.0,2024-01-24
CUST-523956,Consumer,LATAM,Gold,,2024-08-08
CUST-859359,Consumer,LATAM,Silver,26.0,2025-11-18
CUST-273061,Consumer,NA,,39.0,2024-05-15
CUST-981334,Consumer,EU,Gold,18.0,2025-03-06
CUST-590094,Enterprise,APAC,Platinum,29.0,06/01/2024
CUST-233827,Consumer,LATAM,Gold,28.0,2025-10-16
CUST-752483,Consumer,LATAM,Silver,54.0,03/19/2024
CUST-660069,Enterprise,APAC,Gold,35.0,2025-06-10
CUST-128276,Consumer,NA,Silver,30.0,2025-05-23
CUST-513160,Consumer,NA,,27.0,2024-03-27
CUST-720644,Consumer,NA,Gold,43.0,2024-06-12
CUST-691807,Enterprise,EU,Gold,28.0,2024-07-05
CUST-795205,Consumer,EU,Platinum,33.0,2024-10-16
CUST-128418,Enterprise,LATAM,Gold,26.0,2025-02-13
CUST-188025,Enterprise,NA,Platinum,18.0,2025-04-29
CUST-773971,Consumer,APAC,Platinum,23.0,2025-11-13
CUST-549433,Consumer,LATAM,,,2024-04-02
CUST-242291,Consumer,APAC,Gold,28.0,2025-12-18
CUST-584125,Consumer,LATAM,Platinum,31.0,2024-05-27
CUST-290556,Consumer,EU,Platinum,31.0,2024-10-20
CUST-152727,Consumer,LATAM,,33.0,2024-09-03
CUST-372793,Consumer,EU,Gold,28.0,2025-05-09
CUST-497519,Consumer,LATAM,Silver,48.0,2024-02-05
CUST-443254,Consumer,NA,Silver,44.0,2025-04-01
CUST-321941,Consumer,APAC,Gold,32.0,2025-02-19
CUST-576786,Consumer,NA,Platinum,36.0,2024-04-25
CUST-442722,Consumer,LATAM,Platinum,,2024-02-11
CUST-453894,Consumer,LATAM,Gold,29.0,2024-08-05
CUST-898207,Consumer,LATAM,Platinum,18.0,2025-10-23
CUST-497542,Consumer,EU,Silver,34.0,2025-03-29
