device_id,product_id,model_name,hw_revision,manufacture_lot,activated_date
DEV-9604268536,PRD-66155,QC45,C,LOT-816546,2024-08-12
DEV-2762198468,PRD-10074,Studio Pro,A,LOT-739323,2024-11-20
DEV-5393036949,PRD-10425,Studio Pro,A,LOT-594837,2025-07-22
DEV-8104374310,PRD-66155,Studio Pro,B,LOT-269218,2025-04-12
DEV-4957321396,PRD-66155,QC45,A,,
DEV-7885901965,PRD-10425,QC Ultra,D,LOT-624513,2024-12-22
DEV-6346647816,PRD-40982,Air Mini,,,
DEV-2654917886,PRD-41385,QC45,D,LOT-663443,2025-11-04
DEV-4069888953,PRD-10074,QC45,B,LOT-407194,2025-02-18
DEV-6855643596,PRD-65461,Studio Pro,D,LOT-561421,2024-03-29
DEV-4399975767,PRD-66155,Studio Pro,A,LOT-456342,2024-07-22
DEV-5712119018,PRD-71348,Studio Pro,C,LOT-843527,2024-08-18
DEV-8255033473,PRD-66155,QC45,D,LOT-695833,08/17/2024
DEV-2238799281,PRD-66155,QC Ultra,D,LOT-848476,2025-02-09
DEV-6603821485,PRD-66155,Studio Pro,B,LOT-879860,2025-05-07
DEV-1978900486,PRD-49117,QC Ultra,C,LOT-112652,2025-02-18
DEV-7038056729,PRD-95180,Studio Pro,D,LOT-775127,2025-10-23
DEV-9272460488,PRD-24371,Studio Pro,A,LOT-283906,2024-10-17
DEV-2470455066,PRD-10074,QC45,A,LOT-738206,2024-02-20
DEV-7437255094,PRD-10074,Studio Pro,D,LOT-980779,2024-10-03
DEV-6164826959,PRD-38080,Studio Pro,A,LOT-445521,2025-11-28
DEV-4747855538,PRD-89457,Portable PA X,B,LOT-356578,2025-10-19
DEV-4683031554,PRD-41385,QC Ultra,C,LOT-142187,2025-05-20
DEV-4878929220,PRD-66155,Studio Pro,B,LOT-355790,2025-07-31
DEV-5514366267,PRD-71348,Studio Pro,A,LOT-563363,
DEV-3531350085,PRD-66155,Studio Pro,B,LOT-709970,2025-02-25
DEV-5297093830,PRD-65461,QC45,C,LOT-285107,2025-02-05
DEV-6581899574,PRD-66155,Studio Pro,A,LOT-688528,2025-05-16
DEV-5061737765,PRD-66155,QC45,A,LOT-634299,2025-08-10
DEV-8185378034,PRD-66155,QC Ultra,D,LOT-768868,2024-12-01
DEV-4276427174,PRD-66155,QC Ultra,B,LOT-903650,2024-03-25
DEV-3885733726,PRD-24371,QC45,A,LOT-923982,2025-04-18
DEV-9508993384,PRD-10074,Studio Pro,C,LOT-861757,2024-09-09
DEV-8878855674,PRD-71348,QC45,A,LOT-471126,2025-11-21
DEV-2791532400,PRD-24371,QC45,A,LOT-777162,2025-03-13
DEV-1868498641,PRD-40007,Studio Pro,C,LOT-491617,
DEV-7455092839,PRD-71348,QC45,A,LOT-441293,2024-11-18
DEV-8329312966,PRD-10425,QC Ultra,B,LOT-493235,
DEV-6881737942,PRD-66155,QC45,A,LOT-886249,
DEV-5672946587,PRD-47606,Portable PA X,B,LOT-792784,2025-07-22
DEV-4306720589,PRD-66155,Studio Pro,C,LOT-994889,2024-01-17
DEV-6085842700,PRD-95180,QC45,A,LOT-308651,2025-03-02
DEV-5005835472,PRD-66155,QC Ultra,A,LOT-515559,2025-08-03
DEV-7495114421,PRD-68082,Quiet Buds,C,LOT-628704,2024-02-16
DEV-7763780950,PRD-99353,Studio Pro,A,,
DEV-3283902273,PRD-99353,Studio Pro,D,LOT-591202,2024-03-28
DEV-8232523707,PRD-12757,QC45,B,LOT-874831,2025-08-18
DEV-6754438916,PRD-66155,Studio Pro,D,LOT-553401,2025-03-22
DEV-8852156453,PRD-66155,QC Ultra,A,LOT-257805,2025-04-29
DEV-7581454446,PRD-41385,Studio Pro,C,LOT-702342,2024-09-10
DEV-1655432544,PRD-79822,QC Ultra,A,LOT-127498,2025-03-24
DEV-7614577136,PRD-66155,QC Ultra,B,LOT-341281,2024-04-08
DEV-4950847048,PRD-66155,QC45,A,LOT-560996,2024-07-29
DEV-4177901142,PRD-66155,QC45,A,LOT-308286,2025-11-04
DEV-5162870367,PRD-17100,Air Mini,D,LOT-227615,2025-04-20
DEV-7892771428,PRD-64040,Theater Kit X,,LOT-320544,2025-07-29
DEV-3185001290,PRD-24371,QC45,A,LOT-540416,2024-07-17
DEV-4592888910,PRD-24371,QC45,D,LOT-340500,2024-08-28
DEV-9057108760,PRD-10074,QC Ultra,D,LOT-778805,10/29/2024
DEV-3424849408,PRD-59672,Quiet Buds,B,LOT-592634,2024-05-17
DEV-6553755986,PRD-63354,Air Mini,B,LOT-280795,2025-11-03
DEV-6074996463,PRD-66155,QC Ultra,D,,2025-09-20
DEV-2378996901,PRD-24371,QC Ultra,B,LOT-135885,2025-10-15
DEV-3255736583,PRD-24371,QC Ultra,A,LOT-333517,
DEV-9455632693,PRD-90120,Aviation Pro X,,LOT-662799,2024-03-28
DEV-6632552759,PRD-17100,Sport Buds,D,LOT-438560,2025-03-15
DEV-5708994795,PRD-49117,QC45,C,LOT-305821,2025-11-03
DEV-9942933571,PRD-17100,Quiet Buds,C,LOT-744889,2025-05-09
DEV-6588216930,PRD-66155,Studio Pro,,LOT-645172,2025-05-27
DEV-5860644976,PRD-66155,QC45,B,LOT-872182,11/29/2025
DEV-3713904908,PRD-79329,SoundLink Flex,,,2025-05-19
DEV-2385266029,PRD-66155,Studio Pro,B,LOT-296868,2024-11-04
DEV-5263608829,PRD-10425,QC45,C,LOT-223542,2024-12-17
DEV-4833373615,PRD-99353,QC45,B,LOT-909508,2024-09-19
DEV-2128989501,PRD-10074,QC45,B,,2024-09-22
DEV-1477329638,PRD-97153,Portable PA Mini,A,LOT-574548,2025-10-06
DEV-6079281484,PRD-66155,Studio Pro,A,LOT-332634,2025-11-04
DEV-3255052081,PRD-95180,Studio Pro,B,LOT-656657,2025-10-30
DEV-3655081209,PRD-41385,Studio Pro,A,LOT-739280,2025-05-08
DEV-6568409761,PRD-66155,Studio Pro,,LOT-590737,2024-11-07
DEV-2338334796,PRD-24371,Studio Pro,C,LOT-162099,2024-02-28
DEV-6336338219,PRD-71348,QC Ultra,C,LOT-302764,2024-05-29
DEV-2724173979,PRD-66155,Studio Pro,C,LOT-259222,2024-08-02
DEV-9636187241,PRD-66155,QC Ultra,B,LOT-909142,2024-09-11
DEV-4531495494,PRD-10074,Studio Pro,C,LOT-173822,2024-08-20
DEV-5470939104,PRD-65461,QC45,A,LOT-713394,2024-09-26
DEV-8552526194,PRD-81066,Quiet Buds,B,LOT-867305,2025-10-10
DEV-7152443211,PRD-24371,QC Ultra,C,LOT-393814,2025-11-06
DEV-7476052850,PRD-79329,Wave Plus,C,LOT-473986,
DEV-3085416061,PRD-66155,Studio Pro,B,LOT-797962,2025-09-18
DEV-2643199628,PRD-68082,Air Mini,A,LOT-773896,2025-01-13
DEV-6319807982,PRD-66155,Studio Pro,C,LOT-542320,2025-08-16
DEV-8679987160,PRD-66155,QC45,C,LOT-518059,2025-05-17
DEV-4900179544,PRD-40007,QC Ultra,C,,2025-06-03
DEV-8426244858,PRD-65518,Soundbar 900,B,LOT-469495,2024-06-15
DEV-6688737441,PRD-71348,Studio Pro,,LOT-932192,2024-03-03
DEV-4502414628,PRD-81066,Sport Buds,D,LOT-746345,2025-12-11
DEV-8854134160,PRD-10221,Portable PA X,D,LOT-525790,2024-09-02
DEV-6163191165,PRD-66155,Studio Pro,B,LOT-559034,2024-10-24
DEV-1068407369,PRD-44237,Soundbar 600,C,LOT-834242,2024-09-07
DEV-3987734263,PRD-99353,QC Ultra,A,LOT-795405,2024-05-18
DEV-6814525223,PRD-65461,QC Ultra,D,LOT-872048,2025-04-16
DEV-5169319206,PRD-66155,QC45,,LOT-142753,2025-03-18
DEV-3123830957,PRD-74799,Aviation A20,A,LOT-779367,2024-01-21
DEV-7180242731,PRD-66155,Studio Pro,C,LOT-532352,2024-01-17
DEV-9500303270,PRD-24371,Studio Pro,B,LOT-481649,2025-03-22
DEV-6303021087,PRD-24371,Studio Pro,B,LOT-241025,2025-11-30
DEV-1553040088,PRD-79822,Studio Pro,C,LOT-209898,2025-09-09
DEV-6256884496,PRD-65461,QC45,C,,2025-09-07
DEV-9684918579,PRD-71348,QC45,C,,2024-06-07
DEV-2522189131,PRD-66155,Studio Pro,B,LOT-863112,
DEV-5049072489,PRD-10425,QC45,A,LOT-664548,2024-11-30
DEV-9359156491,PRD-66155,QC Ultra,C,LOT-715380,09/12/2025
DEV-8535375473,PRD-49117,Studio Pro,A,LOT-743668,
DEV-4146305511,PRD-24371,QC Ultra,,LOT-288052,05/05/2024
DEV-5808216311,PRD-81511,Soundbar 600,A,LOT-834976,2025-07-19
DEV-3037564969,PRD-24371,QC45,A,LOT-286028,2025-06-24
DEV-6413830193,PRD-71348,QC Ultra,A,LOT-763756,
DEV-7544960111,PRD-71348,QC Ultra,D,,2024-04-08
DEV-3272557267,PRD-66155,QC Ultra,B,LOT-938900,2024-01-02
DEV-7961593935,PRD-81066,Quiet Buds,C,LOT-201675,2025-06-09
DEV-4315644355,PRD-10425,Studio Pro,A,LOT-131815,2025-03-21
DEV-5040292978,PRD-61876,Sport Buds,D,LOT-816211,2025-09-08
DEV-8867392787,PRD-42018,Wave Plus,D,LOT-168643,2025-01-21
DEV-3107833160,PRD-66155,QC45,A,,2025-09-27
DEV-3232712137,PRD-59672,Air Mini,C,LOT-690344,2025-05-27
DEV-3762516548,PRD-24371,QC45,B,LOT-307661,2025-02-28
DEV-5648824894,PRD-24371,QC Ultra,B,LOT-607620,2024-10-19
DEV-9826654029,PRD-74799,Aviation A20,A,LOT-716006,2025-08-21
DEV-4175084884,PRD-66155,Studio Pro,A,LOT-503598,2024-08-31
DEV-4647375561,PRD-66155,Studio Pro,B,LOT-324912,
DEV-2375723254,PRD-39154,Theater Kit X,A,LOT-771530,11/24/2025
DEV-3960905453,PRD-24371,QC45,A,LOT-953161,2025-11-30
DEV-4550100615,PRD-66155,QC45,D,LOT-263503,2024-10-29
DEV-9255690691,PRD-10074,Studio Pro,C,LOT-756608,2025-11-16
