campaign_id,date,region,impressions,clicks,conversions,spend,attributed_revenue,utm_source,utm_medium
CMP-896925,2024-04-07,LATAM,,51,0.0,136.02,0.0,meta,(none)
CMP-238043,2025-05-13,EU,17882.0,248,20.0,144.89,8093.12,meta,cpc
CMP-250295,2025-07-28,EU,13743.0,196,10.0,,3034.39,partner,paid_social
CMP-686986,2024-02-11,APAC,6219.0,238,6.0,51.56,2142.7,tiktok,(none)
CMP-703618,2025-06-29,EU,10628.0,91,2.0,225.11,371.86,google,affiliate
CMP-883945,18-Oct-2024,LATAM,20357.0,410,28.0,110.2,7957.12,google,paid_social
CMP-425468,2025-03-04,EU,14372.0,210,6.0,294.15,2610.24,email,organic
CMP-845108,2024-04-24,NA,14210.0,110,1.0,215.77,310.99,,email
CMP-800969,2024-06-27,NA,11240.0,232,12.0,,2445.4,(not set),email
CMP-561047,2024-08-08,NA,7451.0,255,8.0,59.99,2113.9,partner,organic
CMP-714663,2025-04-06,APAC,48482.0,2116,110.0,373.56,48250.09,,paid_social
CMP-461714,2025-09-29,EU,26717.0,89,1.0,202.91,,meta,paid_social
CMP-840551,2024-12-17,EU,7443.0,98,2.0,156.04,1038.11,google,organic
CMP-222994,2024-07-16,NA,4413.0,140,8.0,73.93,3502.36,google,organic
CMP-300261,2024-02-03,LATAM,7556.0,121,4.0,80.45,1135.81,google,organic
CMP-563555,20-Feb-2025,APAC,14017.0,505,23.0,57.23,6134.04,tiktok,cpc
CMP-734787,2024-08-18,APAC,5232.0,31,2.0,63.56,936.09,partner,paid_social
CMP-154724,2025-03-10,APAC,14972.0,562,30.0,72.9,6810.2,(not set),affiliate
CMP-517641,2025-04-20,APAC,4578.0,107,5.0,$96.69,2401.23,,affiliate
CMP-486785,18-Jul-2025,EU,7171.0,159,10.0,58.46,3050.83,(not set),cpc
CMP-783768,2024-02-08,APAC,18878.0,153,15.0,79.72,7185.05,(not set),(none)
CMP-992278,2024-09-29,LATAM,13152.0,234,2.0,89.86,824.85,meta,(none)
CMP-746944,2024-05-31,NA,11744.0,493,42.0,48.89,16841.78,meta,organic
CMP-478526,2024-06-02,LATAM,22198.0,350,10.0,126.36,2615.56,meta,email
CMP-287700,2025-01-31,APAC,3303.0,99,5.0,,2214.39,partner,(none)
CMP-636561,2024-02-08,EU,13768.0,412,5.0,,1204.14,google,organic
CMP-903266,2024-07-18,LATAM,7819.0,198,6.0,80.14,,,cpc
CMP-186847,2024-08-10,EU,8821.0,336,17.0,121.12,4214.66,meta,organic
CMP-249824,2024-04-28,LATAM,38116.0,846,6.0,625.88,2347.44,meta,email
CMP-927289,2024-01-20,LATAM,8101.0,256,7.0,148.43,2327.5,tiktok,paid_social
CMP-304355,2024-04-16,LATAM,41797.0,628,20.0,$170.77,6055.59,tiktok,email
CMP-598560,2025-09-30,EU,30702.0,717,55.0,159.63,27094.99,google,(none)
CMP-800969,2025-05-02,NA,4501.0,22,0.0,75.44,0.0,google,cpc
CMP-699975,2024-02-02,APAC,4285.0,73,1.0,73.14,414.45,meta,organic
CMP-487484,2025-11-16,NA,7385.0,171,3.0,116.36,1129.58,(not set),cpc
CMP-365329,2024-01-18,LATAM,11651.0,58,1.0,,249.3,email,affiliate
CMP-478526,2024-07-05,NA,11832.0,429,10.0,116.2,4990.31,(not set),organic
CMP-478526,2025-09-20,EU,11045.0,52,2.0,140.22,1000.01,google,affiliate
CMP-100258,2025-05-19,NA,33934.0,201,11.0,$346.19,3835.06,meta,email
CMP-337009,2024-08-08,NA,4427.0,39,2.0,71.33,358.84,partner,affiliate
CMP-864750,2024-11-29,APAC,7631.0,92,3.0,167.54,1191.34,google,paid_social
CMP-195775,2025-11-25,NA,5066.0,211,6.0,85.03,1952.93,meta,email
CMP-596403,2024-06-05,APAC,10908.0,228,22.0,141.05,9944.02,email,cpc
CMP-672089,2025-07-11,NA,2482.0,76,4.0,31.11,1132.32,tiktok,cpc
CMP-714663,15-Jun-2024,APAC,14703.0,611,10.0,303.8,2436.3,,paid_social
CMP-517641,2024-10-06,EU,5725.0,144,3.0,34.7,,meta,organic
CMP-672089,2025-06-01,NA,6981.0,51,1.0,28.16,215.17,google,organic
CMP-986888,2024-03-11,EU,9511.0,259,,71.16,2269.37,meta,organic
CMP-448824,2025-06-15,LATAM,6283.0,79,1.0,53.1,447.34,tiktok,(none)
CMP-746944,2025-04-06,NA,12143.0,104,10.0,120.07,4919.09,meta,
CMP-366086,2024-01-24,EU,6758.0,180,2.0,124.47,636.52,meta,affiliate
CMP-287700,2024-11-26,EU,5347.0,173,2.0,$83.21,747.73,meta,paid_social
CMP-243628,2025-11-07,NA,5547.0,234,22.0,108.87,8050.51,meta,paid_social
CMP-983101,2024-11-27,LATAM,20224.0,417,3.0,425.72,1507.92,google,cpc
CMP-839916,2025-05-26,EU,5860.0,166,5.0,54.93,2390.92,meta,organic
CMP-420602,2025-09-15,LATAM,9229.0,377,7.0,62.79,1495.71,email,(none)
CMP-663852,2025-02-02,APAC,4572.0,104,5.0,91.05,1333.18,tiktok,email
CMP-393586,2025-09-03,NA,10078.0,267,,148.41,6041.57,tiktok,(none)
CMP-779003,2025-12-06,APAC,17921.0,238,8.0,246.94,4129.62,google,cpc
CMP-324289,2025-06-25,APAC,11938.0,138,,179.19,240.53,,
CMP-715846,2025-02-06,LATAM,14413.0,616,10.0,101.99,3618.66,,(none)
CMP-974579,2024-02-17,APAC,12940.0,357,14.0,224.47,5268.82,meta,cpc
CMP-767254,25-Aug-2024,NA,11920.0,75,0.0,212.82,0.0,google,email
CMP-117484,17-Dec-2024,NA,10296.0,332,8.0,43.24,2233.32,google,(none)
CMP-779003,22-Sep-2024,LATAM,4314.0,137,6.0,52.53,2851.56,google,paid_social
CMP-114815,2024-03-16,LATAM,13295.0,517,46.0,$211.37,12407.31,partner,(none)
CMP-663852,2024-06-28,LATAM,31266.0,370,28.0,433.52,5447.86,google,email
CMP-797137,2024-11-28,APAC,6669.0,176,1.0,28.39,480.27,tiktok,paid_social
CMP-260633,03-Jan-2024,NA,88685.0,1308,45.0,624.31,19279.46,google,email
CMP-417255,2024-08-11,APAC,4691.0,176,9.0,27.77,3247.12,(not set),cpc
CMP-597526,2025-12-03,NA,10287.0,73,3.0,188.68,964.59,email,organic
CMP-417255,2024-01-30,EU,8651.0,65,2.0,96.08,,email,cpc
CMP-225228,2025-01-21,EU,37190.0,1247,59.0,583.2,13665.5,partner,organic
CMP-300261,2024-09-18,NA,3072.0,60,0.0,37.26,0.0,partner,email
CMP-544677,2025-09-28,EU,6458.0,92,0.0,47.04,0.0,,cpc
CMP-102800,23-May-2025,APAC,,214,6.0,81.5,2377.11,email,(none)
CMP-343092,2024-06-21,LATAM,20368.0,217,18.0,293.35,4605.13,email,affiliate
CMP-999563,2024-01-10,APAC,10719.0,155,6.0,131.65,1138.21,meta,affiliate
CMP-467476,2025-08-05,NA,2003.0,49,4.0,43.67,669.19,email,affiliate
CMP-974579,2025-02-01,LATAM,9943.0,194,9.0,98.23,3542.88,(not set),cpc
CMP-181239,2025-10-24,APAC,15347.0,670,37.0,175.15,16438.91,meta,paid_social
CMP-114815,2024-07-14,APAC,8763.0,267,6.0,119.52,2575.01,partner,cpc
CMP-429500,22-Dec-2024,LATAM,12037.0,277,15.0,48.57,,google,organic
CMP-140048,2024-04-20,LATAM,4268.0,123,11.0,52.17,4364.38,tiktok,cpc
CMP-250295,2025-12-26,EU,8818.0,287,12.0,193.0,3949.85,partner,organic
CMP-461714,24-Apr-2025,EU,23905.0,812,6.0,294.67,,,(none)
CMP-845902,2024-02-27,NA,11255.0,145,5.0,187.33,2128.88,google,paid_social
CMP-286659,2025-02-02,NA,12444.0,381,22.0,244.35,6823.11,(not set),affiliate
CMP-140048,2024-03-16,APAC,17315.0,646,34.0,299.18,5674.52,meta,paid_social
CMP-259825,2025-09-08,EU,3158.0,132,10.0,35.04,2982.44,(not set),
CMP-343092,2024-10-11,EU,14129.0,102,3.0,,767.25,meta,cpc
CMP-207292,17-Feb-2025,APAC,,510,8.0,247.77,3158.62,(not set),affiliate
CMP-517641,2024-08-02,APAC,6300.0,201,2.0,86.53,983.63,partner,cpc
CMP-181239,2025-01-14,NA,18186.0,75,1.0,116.12,351.92,meta,
CMP-715354,2024-11-22,EU,8016.0,47,2.0,97.89,,meta,(none)
CMP-352468,2025-05-06,NA,10447.0,445,17.0,210.47,8682.44,partner,organic
CMP-591461,2024-03-31,NA,11004.0,279,14.0,104.21,6262.13,email,
CMP-908184,2025-07-19,LATAM,3622.0,158,8.0,73.76,3320.06,tiktok,paid_social
CMP-160006,2024-09-17,EU,18063.0,387,6.0,,1072.06,google,organic
CMP-431853,2025-04-13,APAC,18897.0,360,9.0,415.37,2411.36,(not set),cpc
CMP-432369,2024-08-14,LATAM,44328.0,1303,108.0,785.25,46868.0,email,email
CMP-362709,2025-01-28,APAC,36561.0,773,34.0,469.58,6259.48,meta,organic
CMP-839916,2025-07-08,NA,10931.0,380,10.0,108.95,5110.51,meta,organic
CMP-461714,15-Feb-2024,EU,10482.0,345,8.0,163.05,2926.0,email,affiliate
CMP-734787,2025-08-01,LATAM,38860.0,994,68.0,790.27,35195.13,google,(none)
CMP-887046,2025-02-15,EU,13219.0,433,24.0,257.13,6389.12,meta,cpc
