update_id,device_id,update_ts,from_version,to_version,update_status,error_code
FWU-684144791,DEV-8498127430,2024-04-01 15:18:46,1.0.3,1.0.3,failed,E_BT
FWU-774754424,DEV-7586101102,2024-11-27 02:17:50,1.0.3,1.1.2,failed,E_TIMEOUT
FWU-880168760,DEV-7877176650,2024-03-05 21:53:19,1.1.0,2.0.1,success,
FWU-495424438,DEV-8264341675,2025-02-04 06:51:18,,1.0.8,success,
FWU-483912798,DEV-2396079090,2025-10-22 15:31:56,1.0.3,2.0.1,success,
FWU-502935430,DEV-5855133344,2025-05-16 06:45:50,1.1.2,2.0.1,success,
FWU-671974654,DEV-8007540896,2025-02-17 10:11:04,1.0.3,1.0.8,success,
FWU-865966487,DEV-2035642942,2024-08-08 20:57:00,1.1.0,2.0.1,success,E_TIMEOUT
FWU-403676122,DEV-2833158108,2025-10-28 22:36:25,1.1.0,1.1.0,success,
FWU-990254095,DEV-6479512903,2025-12-04 12:38:59,1.0.3,2.0.1,failed,E_TIMEOUT
FWU-912099131,DEV-6263450887,2024-12-27 08:07:36,1.0.8,2.0.1,success,
FWU-709409804,DEV-5734782899,2025-10-01 10:01:03,2.0.0,2.0.0,success,
FWU-532559614,DEV-1342825256,2025-05-19 06:25:37,1.1.2,2.0.0,success,
FWU-362622425,DEV-2947784122,2024-02-03 17:58:49,1.1.2,1.0.8,success,
FWU-922268251,DEV-2917742332,2025-04-27 21:11:54,,1.1.0,success,E_STORAGE
FWU-634049131,DEV-2793157028,2025-03-20 21:25:48,,1.1.2,success,
FWU-522664329,DEV-3803500437,2025-10-28 19:57:50,1.0.3,1.0.3,failed,E_TIMEOUT
FWU-557140792,DEV-7608778051,2025-01-17 14:08:06,1.0.8,2.0.0,success,
FWU-981903810,DEV-1525768422,2024-02-10 21:01:38,1.1.0,1.0.8,success,
FWU-105395998,DEV-2652735285,2024-01-09 11:55:03,1.1.2,1.0.8,success,
FWU-798421604,DEV-6887163882,2025-06-24 12:38:26,1.0.8,2.0.1,success,
