shipment_id,order_id,warehouse_id,carrier,ship_date,promised_delivery_date,actual_delivery_date,shipping_cost,status
SHP-723064936,ORD8658481,WH-014,USPS,2024-03-03,2024-03-05,2024-03-05,19.07,delivered
SHP-110439020,ORD-6861872,WH-002,CEVA,2024-10-02,2024-10-12,2024-10-13,41.7,delivered
SHP-775606016,ORD-1651148,WH-001,DB Schenker,2025-07-15,2025-07-18,2025-07-18,31.33,delivered
SHP-240218179,ORD-6273046,WH-014,Maersk,2024-03-22,2024-03-24,2024-03-25,12.12,in_transit
SHP-456487230,ORD-7071355,WH-016,DB Schenker,2024-01-22,2024-02-01,2024-02-03,36.51,exception
SHP-399814927,ORD-3212087,WH-011,CEVA,2025-05-18,2025-05-20,2025-05-20,14.71,label_created
SHP-485157949,ORD6821965,WH-004,CEVA,2025-09-16,2025-09-21,2025-09-26,24.19,delivered
SHP-426558588,ORD-2327849,WH-002,USPS,2025-06-23,2025-06-30,,33.16,delivered
SHP-736249987,ORD-5868819,WH-012,DB Schenker,2024-02-03,10/02/2024,2024-02-10,17.42,in_transit
SHP-252025762,ORD-2964232,WH-003,Maersk,2025-04-26,2025-05-01,2025-05-02,22.13,delivered
SHP-469668903,ORD-9126996,WH-007,UPS,2024-01-26,2024-02-02,2024-02-01,36.83,delivered
SHP-520649999,ORD-5999610,WH-005,USPS,2025-05-31,2025-06-02,2025-06-03,45.39,in_transit
SHP-775943094,ORD-3566898,WH-001,CEVA,2024-11-22,2024-11-24,2024-11-25,28.23,delivered
SHP-296632201,ORD-7470684,WH-012,DHL,2024-02-13,2024-02-18,2024-02-23,6.42,delivered
SHP-299895197,ORD-5555941,WH-010,Maersk,2024-12-31,2025-01-10,2025-01-11,20.22,in_transit
SHP-976541130,ORD-2984923,WH-002,DHL,2025-07-16,2025-07-26,2025-07-26,22.74,delivered
SHP-711696872,ORD-2822159,,DB Schenker,2024-11-10,2024-11-17,2024-11-17,20.25,delivered
SHP-634824316,ORD-5427254,WH-011,DB Schenker,2025-03-04,11/03/2025,2025-03-11,24.32,delivered
SHP-809256731,ORD-1990518,WH-007,DB Schenker,2024-06-09,2024-06-19,2024-06-19,32.57,delivered
SHP-687203972,ORD-6862603,WH-014,DB Schenker,2025-12-13,2025-12-23,2025-12-23,11.09,exception
SHP-629920827,ORD-9887128,WH-001,DHL,2025-05-31,2025-06-03,2025-06-03,17.45,delivered
SHP-693220693,ORD-1323842,WH-007,FedEx,2024-08-11,2024-08-13,2024-08-13,27.32,delivered
SHP-722936284,ORD-1060977,WH-005,CEVA,2025-12-09,2025-12-12,2025-12-12,19.25,delivered
SHP-335991236,ORD-1580541,WH-016,DHL,2024-05-12,17/05/2024,2024-05-17,47.63,delivered
SHP-147494307,ORD-4082146,WH-001,Maersk,2024-09-08,2024-09-18,2024-09-18,24.12,delivered
SHP-280505809,ORD-2359890,WH-002,UPS,2025-11-22,2025-11-24,2025-11-24,42.53,in_transit
SHP-307740156,ORD-8410974,WH-003,DB Schenker,2024-07-10,2024-07-12,2024-07-12,43.65,delivered
SHP-210133667,ORD-7297703,,UPS,2024-12-21,2024-12-28,2024-12-28,41.11,delivered
SHP-812959785,ORD-4447445,WH-015,CEVA,2025-07-09,2025-07-11,2025-07-12,7.97,delivered
SHP-835109672,ORD-7890975,WH-012,USPS,2025-02-28,2025-03-02,2025-03-03,45.81,delivered
SHP-770286634,ORD-5510558,WH-001,CEVA,2025-03-27,2025-03-30,2025-04-02,11.41,label_created
SHP-334521947,ORD-6332251,WH-006,Maersk,2025-04-29,2025-05-02,2025-05-01,7.44,delivered
SHP-508952356,ORD-1176422,WH-014,DHL,2025-05-12,2025-05-19,2025-05-18,23.4,delivered
SHP-594784447,ORD-9220148,WH-008,USPS,2024-09-14,2024-09-16,2024-09-17,14.17,delivered
SHP-586298759,ORD-3851809,WH-002,Maersk,2025-10-05,2025-10-08,2025-10-07,13.74,exception
SHP-898393567,ORD-4068570,WH-016,UPS,2024-01-29,31/01/2024,2024-01-30,18.09,delivered
SHP-428485788,ORD-2905437,WH-007,Maersk,2025-01-21,2025-01-23,2025-01-22,16.43,delivered
SHP-416624716,ORD-1071862,WH-007,DB Schenker,2024-07-08,2024-07-10,2024-07-15,34.76,delivered
SHP-248141366,ORD-7820686,WH-012,DHL,2024-11-28,2024-12-05,2024-12-06,13.84,in_transit
SHP-781238988,ORD-2169845,WH-009,UPS,2025-10-07,2025-10-14,2025-10-14,28.81,delivered
SHP-183122265,ORD-9907824,WH-013,DB Schenker,2024-05-23,26/05/2024,2024-05-28,47.43,delivered
SHP-507775266,ORD-9485557,WH-008,DHL,2025-05-25,2025-05-28,2025-06-04,24.16,delivered
SHP-553163622,ORD-5131602,WH-011,USPS,2024-09-27,2024-10-04,2024-10-03,32.96,delivered
SHP-200272896,ORD-2188557,WH-001,DB Schenker,2025-08-07,2025-08-14,2025-08-14,46.71,label_created
SHP-188656761,ORD-9508424,WH-010,USPS,2024-12-01,2024-12-11,2024-12-12,11.78,delivered
SHP-265334600,ORD-7489003,WH-015,USPS,2024-04-28,2024-05-03,2024-05-03,23.58,delivered
SHP-692717803,ORD-5074317,WH-006,USPS,2024-11-05,2024-11-12,2024-11-12,41.71,in_transit
SHP-977021008,ORD-2839629,WH-003,Maersk,2024-05-26,2024-05-28,2024-06-02,45.16,delivered
SHP-411662495,ORD-3882849,WH-002,CEVA,2025-05-01,2025-05-03,2025-05-03,31.25,delivered
SHP-423588785,ORD-7267050,WH-009,DHL,2025-11-07,2025-11-09,2025-11-10,12.02,label_created
SHP-786895959,ORD-1925433,,UPS,2025-07-30,2025-08-02,2025-08-01,43.86,
SHP-921745748,ORD-8930393,WH-011,CEVA,2025-09-12,19/09/2025,2025-09-19,13.33,delivered
SHP-173304152,ORD-5724926,WH-006,CEVA,2025-10-25,2025-10-30,2025-10-30,20.82,exception
SHP-975660483,ORD-2401158,WH-005,FedEx,2025-10-08,2025-10-15,2025-10-14,21.77,in_transit
SHP-125515650,ORD2724470,WH-006,DHL,2025-08-22,2025-08-27,2025-08-26,24.79,delivered
SHP-203036334,ORD-8624955,WH-011,CEVA,2024-09-17,2024-09-19,2024-09-20,39.19,delivered
SHP-980066034,ORD-5679736,WH-010,DHL,2024-07-14,2024-07-24,2024-07-24,39.69,delivered
