"customer_id","customer_segment","region","loyalty_tier","age","signup_date","customer_id_clean","signup_dt","is_signup_date_bad"
CUST-674485,Consumer,APAC,Platinum,41.0,"2024-09-12",CUST-674485,2024-09-12 00:00:00.000,0
CUST-567574,Consumer,,Platinum,35.0,"2025-05-01",CUST-567574,2025-05-01 00:00:00.000,0
CUST-266889,Automotive,EU,,32.0,"2024-01-22",CUST-266889,2024-01-22 00:00:00.000,0
CUST-879779,Consumer,EU,Platinum,30.0,"09/19/2025",CUST-879779,2025-09-19 00:00:00.000,0
CUST-597732,Consumer,,Platinum,31.0,"2025-09-11",CUST-597732,2025-09-11 00:00:00.000,0
CUST-571932,Enterprise,,Platinum,35.0,"2024-09-16",CUST-571932,2024-09-16 00:00:00.000,0
CUST-371782,Enterprise,EU,,31.0,"2024-07-10",CUST-371782,2024-07-10 00:00:00.000,0
CUST-888295,Automotive,LATAM,Platinum,26.0,"2024-07-04",CUST-888295,2024-07-04 00:00:00.000,0
CUST-359249,Consumer,EU,Platinum,35.0,"10/08/2025",CUST-359249,2025-10-08 00:00:00.000,0
CUST-980660,Consumer,EU,Gold,24.0,"2024-09-16",CUST-980660,2024-09-16 00:00:00.000,0
CUST-768636,Consumer,,,37.0,"2024-07-02",CUST-768636,2024-07-02 00:00:00.000,0
CUST-390782,Consumer,LATAM,Silver,31.0,"2025-08-25",CUST-390782,2025-08-25 00:00:00.000,0
CUST-903013,Consumer,EU,Platinum,41.0,"2024-12-06",CUST-903013,2024-12-06 00:00:00.000,0
CUST-915451,Consumer,EU,,44.0,"2025-04-30",CUST-915451,2025-04-30 00:00:00.000,0
CUST-646622,Consumer,APAC,,44.0,"2024-04-06",CUST-646622,2024-04-06 00:00:00.000,0
CUST-608136,Consumer,,Silver,37.0,"2024-02-17",CUST-608136,2024-02-17 00:00:00.000,0
CUST-757193,Consumer,APAC,Silver,38.0,"2024-10-20",CUST-757193,2024-10-20 00:00:00.000,0
CUST-350867,Consumer,APAC,Platinum,30.0,"2025-10-20",CUST-350867,2025-10-20 00:00:00.000,0
CUST-387936,Consumer,EU,Platinum,41.0,"2025-08-30",CUST-387936,2025-08-30 00:00:00.000,0
CUST-561239,Consumer,,Platinum,42.0,"2025-12-14",CUST-561239,2025-12-14 00:00:00.000,0
CUST-181247,Consumer,LATAM,,18.0,"2024-02-12",CUST-181247,2024-02-12 00:00:00.000,0
CUST-848206,Consumer,EU,Gold,38.0,"2025-05-01",CUST-848206,2025-05-01 00:00:00.000,0
CUST-399607,Consumer,LATAM,Gold,49.0,"2024-03-20",CUST-399607,2024-03-20 00:00:00.000,0
CUST-345884,Consumer,LATAM,Gold,30.0,"03/10/2025",CUST-345884,2025-03-10 00:00:00.000,0
CUST-384913,Consumer,,Gold,,"2025-10-22",CUST-384913,2025-10-22 00:00:00.000,0
CUST-452161,Consumer,APAC,Gold,,"2024-03-15",CUST-452161,2024-03-15 00:00:00.000,0
CUST-435239,Consumer,,Platinum,27.0,"2024-11-15",CUST-435239,2024-11-15 00:00:00.000,0
CUST-666390,Automotive,LATAM,Platinum,,"2025-04-10",CUST-666390,2025-04-10 00:00:00.000,0
