"forecast_id","month","region","product_type","forecast_units","actual_units","forecast_version"
FC-90231880,"2025-09",,Headphones,9241,9147.0,final
FC-39511681,"2025-01",,Earbuds,19157,15916.0,v3
FC-69887609,"2025/03",APAC,Headphones,19572,19422.0,v1
FC-51747494,"2025-05",,Portable PA,11845,12588.0,v3
FC-71506308,"2024/01",EU,Headphones,10330,9377.0,v2
FC-59755921,"2025-03",LATAM,Headphones,13474,12283.0,v1
FC-69162253,"2025-03",APAC,Headphones,11400,12779.0,v1
FC-10557413,"2025-03",LATAM,Headphones,8332,7449.0,v1
FC-14665360,"2025-03",LATAM,Speakers,13325,13021.0,v2
FC-31162395,"2025-04",EU,Portable PA,11225,13164.0,v2
FC-79778640,"2024-08",APAC,Speakers,11610,9665.0,v3
FC-48348999,"2024/09",LATAM,Portable PA,16547,17741.0,final
FC-97769788,"2025/08",,Speakers,7865,9000.0,v2
FC-74992054,"2024-06",APAC,Earbuds,13438,11372.0,v3
FC-61493961,"2025-08",,Headphones,17644,19437.0,v2
FC-98827620,"2025-01",,Portable PA,10107,9960.0,v3
FC-50361752,"2025-09",,Aviation Headsets,7756,8912.0,final
FC-36165060,"2024-01",,Home Theater,17402,13749.0,
FC-69311458,"2024-01",APAC,Speakers,3800,4324.0,final
FC-96391535,"2024-09",APAC,Aviation Headsets,15011,14591.0,v2
FC-66778506,"2024-11",APAC,Speakers,19030,19338.0,v3
FC-28991311,"2024-08",,Aviation Headsets,10415,9104.0,final
FC-29825510,"2025-08",LATAM,Headphones,15302,17032.0,final
FC-50280273,"2024-03",APAC,Portable PA,9991,9454.0,v2
FC-47461368,"2024-04",EU,Headphones,15855,13010.0,final
FC-37797283,"2025-10",,Portable PA,3682,4053.0,v2
FC-58571622,"2025-04",,Earbuds,14793,13407.0,final
FC-11536474,"2024-04",EU,Headphones,9155,10030.0,v1
FC-22818994,"2025-03",,Headphones,12062,13312.0,
FC-84854243,"2024/12",EU,Home Theater,16115,17917.0,v2
FC-43869458,"2024-05",LATAM,Earbuds,8801,8047.0,v3
FC-21534093,"2024-05",EU,Aviation Headsets,17736,16524.0,v3
FC-72786119,"2025-04",LATAM,Speakers,12065,12794.0,v2
FC-72549801,"2024-01",APAC,Portable PA,18266,18994.0,v1
FC-46511480,"2025-09",EU,Portable PA,13229,13054.0,v1
FC-71209636,"2025-10",,Speakers,12087,13236.0,final
FC-84642557,"2024-09",EU,Earbuds,10882,9426.0,v3
FC-23165230,"2024/08",,Headphones,16532,19068.0,v1
FC-89532127,"2025-01",LATAM,Home Theater,11179,11337.0,v1
FC-44707057,"2024-12",LATAM,Portable PA,17297,15935.0,v2
FC-76233616,"2025-12",EU,Portable PA,15301,13615.0,v1
FC-76177402,"2025-02",EU,Portable PA,10947,9932.0,final
FC-17232756,"2025-02",EU,Speakers,9439,9140.0,v3
FC-69909960,"2025-01",LATAM,Aviation Headsets,12538,12940.0,
FC-92006590,"2025-02",EU,Portable PA,8227,8314.0,
FC-17697593,"2024-10",LATAM,Speakers,13104,12199.0,v3
FC-89106801,"2025-01",,Speakers,9898,10781.0,v3
FC-53622358,"2024-02",LATAM,Aviation Headsets,18525,18446.0,final
FC-59921910,"2025-06",LATAM,Home Theater,8404,8260.0,v2
FC-25547956,"2025-06",LATAM,Speakers,12055,10376.0,v3
FC-89804090,"2025-05",LATAM,Home Theater,12352,13159.0,v3
FC-52572410,"2024-01",,Aviation Headsets,6803,6545.0,v3
FC-13808702,"2025-11",,Home Theater,16776,,final
FC-82437297,"2025-11",LATAM,Portable PA,14858,,v2
FC-74203041,"2024-10",LATAM,Earbuds,13809,14365.0,final
FC-99970671,"2024-10",,Home Theater,16060,19486.0,v3
FC-93886261,"2025-01",LATAM,Speakers,15070,14318.0,v2
FC-37610707,"2024-08",APAC,Speakers,6078,5643.0,final
FC-18510591,"2024-04",,Speakers,7592,7836.0,v1
FC-16963928,"2025-12",,Speakers,10208,,final
FC-43245615,"2025-01",EU,Speakers,12696,13320.0,final
FC-46607037,"2025/11",LATAM,Portable PA,9437,,v1
FC-91764997,"2025-04",LATAM,Speakers,10807,12218.0,v3
FC-68319852,"2024-04",LATAM,Aviation Headsets,14508,16445.0,v1
FC-55306727,"2025-10",APAC,Home Theater,14023,10872.0,v2
FC-54173390,"2025-09",APAC,Aviation Headsets,10952,10540.0,final
FC-54423278,"2024-07",LATAM,Home Theater,9387,9619.0,v2
FC-67476220,"2025-10",,Speakers,8789,8428.0,v3
FC-15611625,"2025-12",LATAM,Earbuds,16797,19551.0,
FC-33030431,"2024/03",,Home Theater,13331,14610.0,final
FC-27306602,"2024-06",EU,Headphones,20940,21583.0,final
FC-43167759,"2025-10",LATAM,Headphones,13102,11075.0,v2
FC-48142968,"2025-04",,Speakers,9281,9650.0,v3
FC-22352666,"2024-08",,Home Theater,12038,13811.0,v3
FC-15906681,"2024-10",APAC,Speakers,11688,9717.0,v3
FC-81085405,"2025-02",APAC,Aviation Headsets,17212,16031.0,final
FC-41466702,"2024-06",LATAM,Speakers,9719,9513.0,v3
FC-29777778,"2024-07",APAC,Earbuds,11990,10454.0,v1
FC-76460521,"2025-12",,Headphones,11981,,v3
FC-16244090,"2024/05",LATAM,Portable PA,7461,6671.0,final
FC-61731652,"2024/12",APAC,Earbuds,15720,15711.0,final
FC-45613554,"2025-11",EU,Headphones,10029,8829.0,v2
FC-13270506,"2024-09",,Speakers,9161,7864.0,final
FC-45143783,"2024/06",EU,Speakers,13672,15731.0,final
FC-26269988,"2024-05",LATAM,Home Theater,8888,7754.0,v3
FC-39515930,"2025-02",EU,Home Theater,6784,6225.0,v2
FC-92730697,"2024-06",LATAM,Portable PA,11252,11214.0,v1
FC-10904323,"2025-11",LATAM,Home Theater,13716,,
FC-98238851,"2024-07",,Aviation Headsets,7143,8094.0,v2
FC-70685101,"2025-05",EU,Home Theater,13185,10051.0,final
FC-58665330,"2024-02",EU,Home Theater,5444,6702.0,v3
FC-99250630,"2025-03",,Home Theater,10037,8161.0,v3
FC-83091415,"2025-04",LATAM,Home Theater,12817,14993.0,v1
FC-26909195,"2024-01",,Headphones,9529,8319.0,final
FC-73371922,"2024-09",APAC,Speakers,15765,16709.0,v3
FC-24583914,"2024-05",APAC,Earbuds,7417,8519.0,final
FC-33757008,"2025-07",LATAM,Headphones,20607,17858.0,final
FC-90504146,"2025-08",LATAM,Aviation Headsets,9301,10369.0,v3
FC-45694495,"2024-01",APAC,Headphones,11502,9460.0,v3
FC-60864675,"2024-11",APAC,Home Theater,9816,8254.0,v2
FC-33362425,"2025-07",APAC,Aviation Headsets,21749,18559.0,v3
FC-74949163,"2024-07",EU,Portable PA,17624,18963.0,v1
FC-59703149,"2025-11",APAC,Portable PA,4695,4344.0,v1
FC-45102184,"2025-04",,Portable PA,9238,11346.0,v3
FC-97097292,"2025-02",EU,Aviation Headsets,1649,1699.0,v2
FC-95156583,"2025-07",LATAM,Portable PA,18166,19270.0,v1
FC-72708248,"2024-04",EU,Speakers,14071,14723.0,v2
FC-85437617,"2024-01",LATAM,Headphones,9799,9110.0,final
FC-37840090,"2024-04",,Aviation Headsets,6544,7140.0,v3
FC-14384277,"2024-10",,Portable PA,9849,11232.0,v3
FC-43670975,"2025-06",EU,Aviation Headsets,16354,16449.0,v2
FC-55331747,"2025-03",LATAM,Earbuds,16095,13905.0,final
FC-64907719,"2024-07",,Earbuds,8040,7247.0,v1
FC-71419785,"2024-08",EU,Earbuds,10397,12237.0,v3
FC-81373471,"2025-02",APAC,Speakers,17193,18347.0,v1
FC-76584987,"2025-12",EU,Home Theater,11053,,final
FC-38663507,"2024-07",APAC,Speakers,4580,4441.0,final
FC-51401483,"2025-12",,Earbuds,13997,13324.0,final
FC-47980278,"2025-10",APAC,Headphones,11445,9657.0,v2
FC-34594921,"2025-03",EU,Headphones,10161,10671.0,v3
FC-71747184,"2025-05",LATAM,Earbuds,6657,7753.0,v3
FC-21913234,"2024-09",APAC,Earbuds,10388,9534.0,v2
FC-59926922,"2025-07",,Speakers,9894,8775.0,v2
FC-55504132,"2024-06",,Home Theater,15836,12754.0,final
FC-12659375,"2025-12",,Speakers,4032,,v2
FC-12157759,"2025-02",,Earbuds,9447,8901.0,v3
FC-97222928,"2025-03",EU,Earbuds,16083,18591.0,v2
FC-78634941,"2025-12",APAC,Earbuds,12013,,v1
FC-96044476,"2024-08",,Portable PA,9760,11705.0,v3
FC-86187215,"2025/02",APAC,Aviation Headsets,13657,12041.0,v2
FC-75977352,"2024-07",LATAM,Speakers,14043,13457.0,v1
FC-66883083,"2024-03",APAC,Home Theater,13418,16419.0,final
FC-52683515,"2025-04",,Home Theater,9422,10969.0,final
FC-89241607,"2025-08",,Home Theater,15444,15514.0,v1
FC-19787874,"2024-12",,Speakers,14525,12020.0,final
FC-99663970,"2024-04",EU,Portable PA,19420,18369.0,v3
FC-46317883,"2025-08",,Earbuds,11789,13608.0,v1
FC-59401887,"2024-03",,Speakers,14062,11553.0,final
FC-33824320,"2025-11",EU,Aviation Headsets,13997,,final
FC-65913008,"2024-01",EU,Portable PA,11950,13777.0,v1
FC-44998525,"2024-09",APAC,Portable PA,6036,6412.0,v3
FC-95533575,"2024/01",LATAM,Portable PA,7591,6138.0,
FC-16184765,"2025-10",LATAM,Speakers,5997,6763.0,v2
FC-39837454,"2025-01",APAC,Aviation Headsets,11048,12919.0,v3
FC-72792598,"2024-10",LATAM,Earbuds,10466,10929.0,v3
FC-73608536,"2024-03",,Home Theater,16226,17716.0,v2
FC-29537520,"2025-06",,Earbuds,9454,10035.0,v2
FC-92065163,"2025-12",APAC,Earbuds,7047,7554.0,v2
FC-91170867,"2025-04",LATAM,Headphones,9633,10350.0,final
FC-78902799,"2025-09",LATAM,Home Theater,7569,7940.0,v2
FC-60835741,"2025-05",LATAM,Headphones,20056,17804.0,final
FC-84488817,"2025-02",LATAM,Speakers,9801,8204.0,v1
FC-70370831,"2025-11",LATAM,Earbuds,8142,,final
FC-89070149,"2024-05",EU,Earbuds,13011,11139.0,v3
FC-30878276,"2025-03",APAC,Portable PA,10636,12538.0,final
FC-42087316,"2025-01",EU,Portable PA,10553,10554.0,v3
FC-40358841,"2025-11",LATAM,Portable PA,15593,,final
FC-62596933,"2025-03",EU,Aviation Headsets,8465,8456.0,v2
FC-22464668,"2024-03",APAC,Headphones,15130,17161.0,final
FC-22842098,"2025-07",LATAM,Aviation Headsets,21576,20923.0,v1
FC-92389426,"2024-03",,Speakers,18878,20255.0,v3
FC-62638197,"2024-04",EU,Earbuds,8342,9132.0,v1
FC-61985093,"2024-02",APAC,Earbuds,7132,6752.0,v1
FC-30827272,"2024-08",,Home Theater,10629,11110.0,final
FC-35612542,"2025-09",EU,Speakers,6589,5404.0,v2
FC-58028305,"2024-10",,Headphones,15095,16652.0,v2
FC-42865973,"2025-06",LATAM,Home Theater,10592,10384.0,v2
FC-31744196,"2025-11",EU,Home Theater,13927,11418.0,final
FC-24056178,"2024-06",APAC,Speakers,17765,17849.0,v3
FC-78785535,"2024-07",LATAM,Earbuds,14281,15901.0,v3
FC-93159351,"2024-05",LATAM,Headphones,12065,12493.0,final
FC-45254876,"2025-05",EU,Speakers,10019,11239.0,v2
FC-36936958,"2024-06",EU,Home Theater,3147,3365.0,final
FC-96522768,"2024-04",,Speakers,18047,21093.0,v3
FC-83114789,"2025-06",,Earbuds,9746,11152.0,v2
FC-37262011,"2024/02",LATAM,Earbuds,12378,12603.0,v2
FC-39444713,"2024-08",EU,Speakers,18133,17066.0,v3
FC-78777256,"2025-07",LATAM,Portable PA,1246,1499.0,v3
FC-28881869,"2025-04",APAC,Headphones,4316,4480.0,v3
FC-88369697,"2025-07",APAC,Home Theater,4306,4590.0,v2
FC-80960740,"2025-04",EU,Home Theater,12861,12265.0,v1
FC-96034295,"2025-10",APAC,Portable PA,11923,13742.0,v3
FC-44559076,"2024-03",APAC,Portable PA,11730,9750.0,v1
FC-55320894,"2024-11",APAC,Headphones,8763,9327.0,v3
FC-65007413,"2024-12",LATAM,Earbuds,9641,9779.0,final
FC-47807535,"2025-04",EU,Home Theater,9971,9820.0,final
FC-16584786,"2024-03",APAC,Home Theater,8677,9260.0,v2
FC-92279917,"2025-09",LATAM,Headphones,17680,18567.0,v1
FC-18286430,"2024-07",APAC,Headphones,7678,7867.0,v2
FC-22944987,"2025-04",APAC,Home Theater,12505,12755.0,v1
FC-83856348,"2025-05",LATAM,Headphones,4074,4419.0,v3
FC-12657149,"2025-06",LATAM,Home Theater,11763,11234.0,v3
FC-94832155,"2024-10",EU,Portable PA,4844,4127.0,v2
FC-82766327,"2024-09",EU,Speakers,7405,7815.0,v3
FC-33657078,"2024-08",LATAM,Aviation Headsets,5191,5713.0,v2
FC-33317220,"2025-01",APAC,Portable PA,4330,5313.0,v3
FC-23365863,"2024-09",EU,Home Theater,7864,7285.0,final
FC-73572364,"2025-08",EU,Home Theater,9754,8023.0,v3
FC-48179935,"2024-12",LATAM,Home Theater,17252,14946.0,
FC-86213212,"2024-07",APAC,Earbuds,16392,17413.0,v1
FC-33706459,"2025-09",LATAM,Portable PA,17359,18858.0,v3
FC-72261502,"2024-12",APAC,Speakers,14197,11948.0,final
FC-68457680,"2025-11",EU,Speakers,14989,17305.0,v2
FC-92209030,"2025-05",,Aviation Headsets,10460,9520.0,v3
FC-10234872,"2025-09",EU,Speakers,13911,11786.0,v2
FC-40016578,"2024-09",LATAM,Aviation Headsets,11599,12601.0,final
FC-11961883,"2024/08",,Aviation Headsets,7738,8206.0,v2
FC-46445506,"2024-09",LATAM,Portable PA,15311,16436.0,final
FC-14871997,"2025-09",LATAM,Home Theater,6225,6539.0,final
FC-54673225,"2024-12",APAC,Speakers,14033,15664.0,final
FC-10030233,"2024-07",APAC,Speakers,8890,9986.0,v3
FC-53744396,"2025-02",APAC,Headphones,18152,18932.0,v3
FC-49823189,"2024-05",LATAM,Headphones,15730,16999.0,final
FC-57948654,"2024-07",APAC,Headphones,13977,14174.0,v3
FC-52731988,"2024-09",EU,Speakers,10361,11183.0,
FC-57992864,"2025-03",EU,Headphones,1990,2288.0,v1
FC-94280492,"2024-03",APAC,Headphones,12459,13275.0,final
FC-70264785,"2025-06",LATAM,Speakers,5333,5942.0,final
FC-68101720,"2025-11",EU,Speakers,647,,final
FC-44036973,"2024-04",APAC,Speakers,18009,20807.0,final
FC-43496796,"2025-05",,Portable PA,12543,12298.0,v1
FC-50039438,"2025-01",,Earbuds,7120,8221.0,v1
FC-70815969,"2025-05",,Earbuds,9974,11370.0,v2
FC-27990806,"2024-12",,Portable PA,11158,8683.0,v1
FC-82058295,"2025-10",,Headphones,15139,15350.0,
FC-54782042,"2025-03",,Earbuds,17881,17787.0,v1
FC-22142919,"2024-06",EU,Headphones,11809,12834.0,v1
FC-67728578,"2025-11",,Headphones,13292,,v2
FC-64452720,"2025-05",,Speakers,5327,4867.0,v1
FC-21609527,"2025-04",LATAM,Speakers,11396,9645.0,
FC-11731821,"2024-03",EU,Speakers,8901,9591.0,final
FC-84076446,"2025-09",APAC,Aviation Headsets,10169,9087.0,final
FC-84259720,"2024-11",EU,Aviation Headsets,17891,19565.0,final
