"snapshot_id","snapshot_date","warehouse_id","product_id","on_hand_qty","reserved_qty","in_transit_qty","reorder_point"
INV-445909336,"2025-04-19",WH-001,PRD-68082,330,65.0,124,200.0
INV-688794273,"2025-07-23",WH-004,PRD-44237,122,40.0,121,300.0
INV-592140064,"2024-08-02",WH-016,PRD-65461,479,161.0,0,300.0
INV-655928821,"2025-06-13",WH-010,PRD-79329,60,3.0,84,200.0
INV-592876188,"09/25/2025",WH-008,PRD-84085,637,213.0,103,300.0
INV-835057249,"2024-10-15",WH-007,PRD-76469,53,11.0,37,300.0
INV-204029945,"2025-04-13",WH-013,PRD-63354,478,100.0,120,350.0
INV-125784722,"2025-10-21",WH-003,PRD-64040,-351,,95,300.0
INV-711707227,"2024-03-30",WH-002,PRD-47606,560,101.0,124,300.0
INV-513061251,"2024-01-18",WH-001,PRD-97153,451,94.0,164,200.0
INV-695175384,"2025-09-02",WH-006,PRD-10425,239,38.0,48,350.0
INV-768702474,"2025-06-16",WH-003,PRD-95180,483,46.0,107,300.0
INV-176614443,"2025-08-03",WH-001,PRD-67912,476,108.0,109,300.0
INV-496770669,"2025-09-23",WH-003,PRD-25906,77,19.0,130,200.0
INV-379687121,"2024-02-05",WH-006,PRD-89457,148,39.0,92,200.0
INV-761882980,"2025-07-25",WH-012,PRD-71348,46,2.0,9,350.0
INV-995396239,"2025-05-27",WH-010,PRD-79329,470,108.0,145,250.0
INV-669438292,"2024-06-19",WH-009,PRD-93130,304,50.0,81,300.0
INV-324102906,"2025-07-03",WH-003,PRD-71348,47,,19,250.0
INV-606509757,"2025-06-14",WH-010,PRD-40784,726,189.0,116,250.0
INV-716672987,"2024-09-20",WH-010,PRD-21114,526,77.0,239,350.0
INV-981853000,"2025-03-10",WH-006,PRD-95180,273,80.0,21,350.0
INV-238184595,"2025-11-27",WH-006,PRD-89457,677,205.0,100,200.0
INV-301478986,"2025-12-11",WH-006,PRD-39154,359,,94,
INV-309620941,"05/23/2025",WH-005,PRD-89457,367,64.0,91,300.0
INV-561089736,"07/10/2024",WH-004,PRD-40982,388,57.0,170,350.0
INV-196829540,"2024-12-29",WH-002,PRD-81511,445,146.0,101,350.0
INV-955664683,"2025-06-05",WH-006,PRD-84085,-136,0.0,43,350.0
INV-107001922,"2024-08-05",WH-012,PRD-71348,446,151.0,98,200.0
INV-780780837,"2024-07-05",WH-010,PRD-19171,328,104.0,191,300.0
INV-371113366,"2024-01-28",WH-009,PRD-82845,422,48.0,101,300.0
INV-545285783,"2025-10-09",WH-006,PRD-91351,236,53.0,142,
INV-101023946,"2024-07-10",WH-012,PRD-89457,290,86.0,0,350.0
INV-621230660,"2024-11-27",WH-014,PRD-98555,194,10.0,115,300.0
INV-288680912,"2025-12-12",WH-005,PRD-99353,567,60.0,123,300.0
INV-508218901,"2024-03-13",WH-002,PRD-42018,365,,92,300.0
INV-596252268,"09/10/2025",WH-007,PRD-17100,558,30.0,26,
INV-870682908,"2024-10-31",WH-004,PRD-38080,283,52.0,88,350.0
INV-581713202,"2025-11-18",WH-016,PRD-35112,308,82.0,157,
INV-102863765,"2024-05-29",WH-002,PRD-81511,449,,149,250.0
INV-176873232,"2025-02-08",WH-005,PRD-71348,363,75.0,133,300.0
INV-170488726,"2025-06-22",WH-015,PRD-35112,318,21.0,99,250.0
INV-990531740,"2025-04-04",WH-002,PRD-81511,355,84.0,76,250.0
INV-412549530,"2024-04-04",WH-016,PRD-61876,506,128.0,123,300.0
INV-942443906,"2025-02-05",WH-010,PRD-93130,280,60.0,77,250.0
INV-573060579,"2024-11-29",WH-001,PRD-67912,324,18.0,122,
INV-271687222,"2024-10-18",WH-005,PRD-41385,559,177.0,129,
INV-902958680,"2024-11-03",WH-014,PRD-61876,404,121.0,72,
INV-872103482,"2024-05-05",WH-016,PRD-89457,559,90.0,160,200.0
INV-347029425,"01/03/2024",WH-001,PRD-65724,69,22.0,40,
INV-748924701,"2025-09-25",WH-006,PRD-79822,648,196.0,91,350.0
INV-668691326,"2025-07-16",WH-011,PRD-89457,426,30.0,130,350.0
INV-496200071,"2025-10-30",WH-006,PRD-44237,-453,0.0,127,250.0
INV-529337066,"2024-03-17",WH-013,PRD-19171,143,44.0,74,300.0
INV-711862396,"2025-06-03",WH-001,PRD-74799,252,68.0,118,300.0
INV-310415082,"2025-04-20",WH-004,PRD-47606,204,17.0,72,250.0
INV-433937975,"2025-03-15",WH-005,PRD-40982,596,128.0,134,300.0
INV-953981387,"2024-08-23",WH-009,PRD-62923,716,67.0,26,
INV-217047276,"2024-03-28",WH-008,PRD-64040,639,185.0,134,350.0
INV-157578030,"2025-07-02",WH-011,PRD-96511,562,141.0,104,
INV-830949599,"2024-05-11",WH-007,PRD-65518,474,61.0,198,300.0
INV-949474807,"2025-06-14",WH-006,PRD-10221,439,31.0,89,250.0
INV-279005753,"2024-02-09",WH-004,PRD-10074,644,52.0,114,200.0
INV-735945586,"2025-09-22",WH-007,PRD-35112,390,63.0,175,250.0
