"mfg_id","date","factory_id","product_id","units_produced","scrap_units","downtime_hours","shift"
MFG-585913060,"2024-06-07",WH-014,PRD-19171,727.0,35,"1.8",
MFG-988103678,"2024-07-27",WH-014,PRD-96511,789.0,15,"0.22",B
MFG-521888286,"2025-03-07",WH-006,PRD-19171,1000.0,27,"0.27",B
MFG-412072905,"2025-10-03",WH-002,PRD-81511,695.0,36,"0.51",B
MFG-426835865,"2025-10-27",WH-002,PRD-19171,771.0,19,"0.41",C
MFG-783765421,"2024-05-15",WH-013,PRD-24371,476.0,13,"1.89",A
MFG-898280348,"2025-12-21",WH-005,PRD-94080,969.0,7,"0.05",C
MFG-458323325,"2024-08-02",WH-014,PRD-21114,1073.0,52,"1.28",A
MFG-454049857,"2024-04-24",WH-005,PRD-65724,859.0,46,"2.31",A
MFG-941176398,"2024-02-01",WH-013,PRD-91351,1237.0,14,"0.0",A
MFG-689810897,"2025-04-01",WH-013,PRD-76469,1004.0,20,"0.0",C
MFG-749377592,"2025-09-17",WH-002,PRD-35112,504.0,2,"0.92",A
MFG-733876815,"2025-10-18",WH-013,PRD-99353,1273.0,71,"0.32",C
MFG-891732225,"2024-11-03",WH-002,PRD-62923,656.0,18,"1.04",B
MFG-345294438,"2025-06-26",WH-002,PRD-47606,743.0,20,"0.17 hrs",A
MFG-655156926,"2024-10-25",WH-014,PRD-10221,957.0,43,"3.51",B
MFG-391062850,"2025-08-13",WH-005,PRD-25906,1083.0,56,"0.57",B
MFG-960455856,"2025-04-05",WH-006,PRD-42018,1022.0,3,"0.07",C
MFG-863859678,"2024-06-11",WH-002,PRD-65724,728.0,22,"0.35",A
MFG-881640508,"2024-09-29",WH-006,PRD-62923,959.0,53,"0.75",A
MFG-173103979,"2024-02-28",WH-002,PRD-64040,862.0,34,"1.12",B
MFG-970190764,"2024-09-26",WH-013,PRD-19171,829.0,6,"0.64",C
MFG-941891285,"2025-07-10",WH-002,PRD-98555,972.0,3,"1.23",B
MFG-823921221,"2025-05-20",WH-006,PRD-10221,971.0,9,"1.26",B
MFG-812733862,"2024-06-10",WH-013,PRD-79329,1017.0,41,"1.84",B
MFG-252987793,"2024-03-02",WH-005,PRD-65518,1023.0,55,"0.09",A
MFG-986910374,"2025-07-26",WH-013,PRD-24371,959.0,5,"0.25",A
MFG-398798214,"2024-09-26",WH-014,PRD-42527,1023.0,7,"0.1",C
MFG-452300740,"2025-01-28",WH-013,PRD-67912,1198.0,41,"0.44",C
MFG-949223130,"2025-12-16",WH-002,PRD-39154,466.0,24,"0.7",C
MFG-488530282,"2025-09-16",WH-006,PRD-61876,865.0,40,"0.9",A
MFG-451518139,"2025-09-12",WH-002,PRD-84085,710.0,10,"1.47",A
MFG-719312498,"2025-12-03",WH-013,PRD-71348,983.0,49,"0.79",C
MFG-794527482,"2024-02-11",WH-005,PRD-81511,1101.0,62,"0.14",A
MFG-404358950,"2024-12-08",WH-013,PRD-65518,764.0,12,"1.25",B
MFG-788977897,"2025-06-17",WH-014,PRD-84085,1045.0,35,"0.07",A
MFG-183060158,"2024-05-30",WH-002,PRD-99353,678.0,4,"0.28",A
MFG-893006218,"2025-12-20",WH-002,PRD-12757,887.0,27,"0.62",C
MFG-565498520,"2025-06-30",WH-005,PRD-79329,1088.0,24,"1.73 hrs",A
MFG-385317933,"2025-07-06",WH-006,PRD-41385,741.0,40,"0.41",C
MFG-806360361,"2025-12-06",WH-014,PRD-10074,1186.0,29,"1.77",A
MFG-557611049,"2025-08-24",WH-013,PRD-30635,890.0,9,"0.09",A
MFG-869509696,"2024-11-05",WH-005,PRD-21114,901.0,34,"0.31",
MFG-136126529,"2025-04-01",WH-002,PRD-59672,533.0,13,"1.66",B
MFG-471245225,"2024-03-27",WH-006,PRD-59672,952.0,29,"0.49",A
MFG-686651438,"2024-10-21",WH-005,PRD-23104,1097.0,28,"1.13",C
MFG-649215827,"2025-02-10",WH-014,PRD-42527,1166.0,17,"2.79",B
MFG-614340939,"2025-04-05",WH-014,PRD-47606,993.0,19,"0.83 hrs",A
MFG-349822458,"2024-09-22",WH-014,PRD-99353,872.0,41,"0.68",C
MFG-564004925,"2024-02-23",WH-014,PRD-25129,1345.0,4,"0.59",B
MFG-371290465,"2024-11-28",WH-006,PRD-44237,1298.0,65,"0.56",C
MFG-470082823,"2025-11-23",WH-014,PRD-62923,837.0,40,"0.82",B
MFG-468890200,"2024-09-24",WH-014,PRD-91351,1103.0,60,"1.54",C
MFG-982797200,"2024-05-08",WH-005,PRD-74799,,50,"0.13",
MFG-613557296,"2024-08-30",WH-013,PRD-39154,841.0,38,"0.37",C
MFG-620937880,"2024-12-23",WH-006,PRD-49117,571.0,5,"1.39 hrs",A
MFG-977624839,"2025-01-18",WH-006,PRD-67912,984.0,16,"1.33",B
MFG-704857616,"2024-05-11",WH-005,PRD-94080,1297.0,39,"3.43",A
MFG-301137184,"2025-10-12",WH-005,PRD-79329,782.0,38,"1.42 hrs",B
MFG-845567862,"2024-01-24",WH-014,PRD-42018,517.0,29,"1.08",C
MFG-782054096,"2024-02-08",WH-002,PRD-97153,1152.0,38,"0.61",C
MFG-639306215,"2024-10-04",WH-002,PRD-93130,1047.0,53,"2.12",B
MFG-488431941,"2025-05-26",WH-013,PRD-90120,924.0,14,"1.94",B
MFG-222815712,"2025-07-08",WH-006,PRD-42018,916.0,46,"0.77",B
MFG-646976614,"2024-06-02",WH-014,PRD-99353,935.0,11,"0.27",A
MFG-786327308,"2024-01-28",WH-013,PRD-12757,548.0,25,"0.63",C
MFG-698872712,"2025-04-19",WH-014,PRD-79329,1075.0,19,"0.54",A
MFG-720704132,"2024-08-15",WH-014,PRD-99353,794.0,18,"0.08",B
MFG-765736388,"2024-07-13",WH-005,PRD-76469,1341.0,26,"0.51",B
MFG-137997935,"2024-12-04",WH-005,PRD-21114,,9,"0.39",B
MFG-248646100,"2025-07-25",WH-013,PRD-47606,832.0,41,"0.34",A
MFG-632259837,"2025-11-29",WH-005,PRD-71348,801.0,33,"0.87",B
MFG-304012551,"2024-01-15",WH-005,PRD-68082,1061.0,23,"0.97",C
MFG-268514001,"2024-09-10",WH-005,PRD-40007,798.0,4,"1.98",A
MFG-415198200,"2025-11-17",WH-013,PRD-61876,1508.0,34,"0.45",C
MFG-916938711,"2025-11-28",WH-013,PRD-97153,401.0,4,"2.42",B
MFG-144123606,"2024-08-12",WH-013,PRD-74799,1040.0,12,"3.27",B
MFG-210778634,"2024-05-31",WH-002,PRD-25906,1348.0,43,"1.2",C
MFG-261363789,"2024-02-17",WH-005,PRD-71348,1089.0,62,"0.03",B
MFG-884105889,"2025-09-20",WH-013,PRD-65724,1070.0,48,"0.45 hrs",
MFG-479911293,"2024-12-19",WH-014,PRD-10221,930.0,43,"0.3",A
MFG-775940377,"2025-10-19",WH-006,PRD-68008,548.0,19,"2.89",A
MFG-766526349,"2025-12-26",WH-013,PRD-71348,673.0,27,"0.14",A
MFG-404133393,"2025-02-27",WH-005,PRD-99353,849.0,16,"1.88",
MFG-916300367,"2024-10-11",WH-005,PRD-49117,522.0,8,"1.32",A
MFG-185721214,"2024-01-13",WH-002,PRD-65724,565.0,12,"1.4",B
MFG-843099473,"2024-12-03",WH-013,PRD-81066,475.0,12,"1.28",
MFG-612129104,"2025-06-18",WH-005,PRD-40784,1054.0,45,"0.32",C
MFG-634676501,"2025-06-12",WH-014,PRD-23104,623.0,37,"1.05",A
MFG-421499083,"2024-07-10",WH-005,PRD-39154,1226.0,22,"0.03",B
MFG-903052768,"2024-08-08",WH-013,PRD-47606,1065.0,16,"0.48",A
MFG-189733509,"2025-06-09",WH-005,PRD-91351,740.0,29,"1.07",B
MFG-505036089,"2025-12-12",WH-002,PRD-90120,732.0,8,"0.55",A
MFG-713061505,"2024-12-26",WH-002,PRD-47606,1160.0,66,"0.7",C
MFG-748113402,"2024-02-21",WH-005,PRD-63354,916.0,50,"0.14",C
MFG-362789464,"2025-03-04",WH-005,PRD-99353,908.0,31,"0.41",C
MFG-482378907,"2025-03-08",WH-014,PRD-15229,718.0,26,"3.36",
MFG-860063719,"2024-10-23",WH-006,PRD-40982,503.0,12,"0.1",C
MFG-285109186,"2024-06-22",WH-013,PRD-21114,959.0,38,"0.4",A
MFG-289727680,"2024-11-21",WH-002,PRD-76469,788.0,26,"0.05",C
MFG-628797188,"2024-09-19",WH-014,PRD-67912,1164.0,42,"0.21",A
MFG-837856914,"2025-04-25",WH-014,PRD-12757,955.0,36,"0.4",
MFG-861133109,"2025-07-14",WH-014,PRD-84085,854.0,38,"0.05",B
MFG-865226539,"2024-12-28",WH-013,PRD-19171,1251.0,50,"1.34 hrs",A
MFG-478313578,"2024-11-13",WH-013,PRD-40784,1057.0,36,"2.48",B
MFG-888687288,"2024-08-17",WH-006,PRD-24371,975.0,38,"0.78",C
MFG-837537428,"2024-08-17",WH-013,PRD-42527,767.0,27,"0.94",A
MFG-893257381,"2024-09-25",WH-006,PRD-66155,657.0,33,"0.58",B
MFG-383288147,"2024-07-14",WH-005,PRD-91351,922.0,8,"0.57",B
MFG-491636037,"2025-07-08",WH-013,PRD-81066,586.0,17,"0.29",B
MFG-390078427,"2024-08-23",WH-014,PRD-42018,907.0,31,"3.5",B
MFG-496036492,"2025-06-19",WH-002,PRD-12757,836.0,12,"0.27",C
MFG-960879987,"2024-12-07",WH-014,PRD-96511,649.0,25,"0.08",A
MFG-350960915,"2025-04-09",WH-014,PRD-30635,842.0,42,"0.44",B
MFG-240025166,"2025-01-14",WH-005,PRD-10221,972.0,45,"0.03",B
MFG-288790014,"2025-10-20",WH-002,PRD-40784,945.0,47,"0.32",A
MFG-643653727,"2024-03-08",WH-005,PRD-10074,743.0,17,"0.86",B
MFG-766954816,"2024-01-11",WH-006,PRD-38080,430.0,24,"0.87",A
MFG-202866965,"2025-11-11",WH-014,PRD-35112,905.0,36,"0.03",A
MFG-554373099,"2025-08-11",WH-005,PRD-47606,954.0,8,"0.11",C
MFG-956840195,"2024-10-08",WH-014,PRD-71348,1119.0,23,"0.11",C
MFG-845196400,"2025-10-04",WH-014,PRD-10074,350.0,11,"0.7",C
MFG-136179127,"2024-09-21",WH-013,PRD-15229,1424.0,82,"0.09",B
MFG-400628097,"2024-01-04",WH-014,PRD-68008,1626.0,94,"1.92",B
MFG-320363878,"2024-09-30",WH-013,PRD-61876,1214.0,54,"1.2",A
MFG-237535686,"2025-04-08",WH-002,PRD-79329,1023.0,49,"1.18",B
MFG-918569412,"2025-07-19",WH-002,PRD-12757,1010.0,27,"0.24",C
MFG-204378784,"2025-10-11",WH-005,PRD-10074,963.0,21,"0.25",B
MFG-950003952,"2025-11-24",WH-005,PRD-94080,403.0,7,"0.78",B
MFG-285037873,"2025-05-06",WH-005,PRD-47606,817.0,42,"3.09",B
MFG-772646375,"2024-02-05",WH-005,PRD-81511,811.0,19,"2.99",C
MFG-249431230,"2024-04-21",WH-006,PRD-23104,907.0,53,"2.65",A
MFG-397827401,"2024-06-07",WH-014,PRD-12757,675.0,22,"0.78",A
MFG-160482497,"2025-01-14",WH-006,PRD-76469,917.0,9,"0.86",B
MFG-418198447,"2025-12-13",WH-005,PRD-41385,1334.0,62,"1.28",B
MFG-766801042,"2024-08-31",WH-006,PRD-71348,566.0,33,"0.67",A
MFG-446072667,"2024-03-27",WH-014,PRD-41385,831.0,33,"0.52",A
MFG-707992572,"2024-12-08",WH-013,PRD-39154,950.0,22,"0.19",
MFG-245467287,"2025-02-05",WH-002,PRD-74799,1209.0,45,"1.21",C
MFG-375244883,"2025-11-12",WH-014,PRD-49117,1055.0,15,"0.35",B
MFG-574541690,"2024-05-11",WH-014,PRD-59672,981.0,52,"1.01",A
MFG-495724195,"2024-08-12",WH-013,PRD-49117,905.0,43,"0.49",A
MFG-625974102,"2024-11-10",WH-006,PRD-90120,1137.0,58,"0.02",C
MFG-556241653,"2025-10-03",WH-014,PRD-21114,709.0,18,"0.95",A
MFG-558149740,"2024-06-29",WH-014,PRD-96511,650.0,16,"0.81",C
MFG-670149078,"2024-12-10",WH-013,PRD-81066,1044.0,56,"0.59",C
MFG-934180096,"2024-03-26",WH-013,PRD-10074,1180.0,59,"0.22",B
MFG-107034075,"2024-08-17",WH-002,PRD-40784,1099.0,4,"0.43",
MFG-208227438,"2024-09-08",WH-014,PRD-40007,672.0,11,"0.39",
MFG-287484763,"2024-02-04",WH-014,PRD-42018,898.0,40,"0.4",B
MFG-381228975,"2025-01-04",WH-005,PRD-49117,1059.0,58,"1.43",A
MFG-551750152,"2025-12-08",WH-013,PRD-42018,1025.0,40,"1.01",C
MFG-149895052,"2025-09-29",WH-006,PRD-44237,1205.0,70,"0.04",C
MFG-214288470,"2025-04-26",WH-013,PRD-74799,747.0,27,"0.25",A
MFG-592987426,"2024-01-16",WH-006,PRD-40982,928.0,13,"0.11",A
MFG-978971666,"2024-02-10",WH-013,PRD-40007,908.0,3,"1.01",C
MFG-686840304,"2024-01-19",WH-014,PRD-96511,547.0,21,"0.09",C
MFG-272466497,"2024-04-04",WH-002,PRD-24371,1066.0,23,"2.16",C
MFG-222817287,"2025-09-26",WH-006,PRD-81066,737.0,16,"1.55",C
MFG-778839677,"2025-11-16",WH-014,PRD-64040,757.0,36,"0.42",C
MFG-961548162,"2024-04-22",WH-002,PRD-65518,568.0,13,"2.11",A
MFG-632399994,"2025-09-19",WH-013,PRD-90120,738.0,24,"2.64",A
MFG-548446881,"2024-12-15",WH-005,PRD-42018,1147.0,67,"2.88",C
MFG-777859642,"2025-07-08",WH-005,PRD-79822,1195.0,12,"0.22 hrs",A
MFG-636653107,"2025-06-20",WH-005,PRD-47606,627.0,23,"1.9",B
MFG-320212960,"2025-12-13",WH-013,PRD-95180,1404.0,79,"0.59",C
MFG-935413688,"2025-08-06",WH-005,PRD-40982,1035.0,46,"0.67",B
MFG-916512633,"2024-03-28",WH-005,PRD-15229,843.0,30,"2.27",B
MFG-264247402,"2024-07-05",WH-006,PRD-47606,981.0,49,"0.63",B
MFG-650170886,"2024-03-10",WH-005,PRD-81511,697.0,34,"0.75",B
MFG-626389013,"2024-06-27",WH-006,PRD-94080,499.0,26,"3.79",B
MFG-362640041,"2024-01-11",WH-014,PRD-40784,852.0,6,"0.62",A
MFG-227642875,"2024-11-28",WH-013,PRD-21114,405.0,13,"0.79",C
MFG-857811762,"2024-07-27",WH-014,PRD-10425,766.0,19,"0.98",C
MFG-542986363,"2024-09-18",WH-002,PRD-41385,542.0,2,"0.14",C
MFG-917721083,"2024-11-17",WH-014,PRD-94080,1065.0,33,"0.2",B
MFG-518443378,"2025-08-16",WH-014,PRD-42527,682.0,36,"0.38",A
MFG-816099159,"2025-06-07",WH-014,PRD-21114,840.0,27,"1.81",
MFG-801344172,"2025-07-23",WH-014,PRD-30635,1029.0,49,"1.64",A
MFG-200560318,"2025-06-23",WH-002,PRD-40007,765.0,17,"0.03",C
MFG-694576524,"2025-08-09",WH-006,PRD-65724,775.0,17,"0.23",
MFG-485842436,"2024-08-02",WH-013,PRD-10074,1350.0,53,"1.22",B
MFG-445157950,"2024-09-02",WH-005,PRD-67912,1425.0,35,"0.37",A
MFG-215775335,"2024-10-29",WH-005,PRD-66155,1022.0,51,"1.42",C
MFG-723078506,"2025-12-20",WH-002,PRD-98555,889.0,4,"1.77 hrs",A
MFG-363898121,"2024-11-21",WH-002,PRD-82845,628.0,31,"1.1 hrs",B
MFG-450096487,"2025-05-24",WH-005,PRD-84085,68.0,1,"0.85",B
MFG-298036439,"2024-08-21",WH-002,PRD-10074,587.0,7,"1.43",B
MFG-116230588,"2025-03-02",WH-014,PRD-65518,638.0,24,"0.29 hrs",B
MFG-266761913,"2025-10-09",WH-014,PRD-24371,441.0,4,"0.62",C
MFG-412588691,"2024-10-26",WH-002,PRD-10074,1100.0,55,"1.03",
MFG-265272620,"2024-01-27",WH-013,PRD-49117,948.0,10,"1.01",A
MFG-554483167,"2025-12-18",WH-013,PRD-23104,598.0,4,"0.1",B
MFG-700050784,"2025-05-29",WH-005,PRD-89457,522.0,15,"1.13",A
MFG-823155082,"2025-06-03",WH-006,PRD-96511,1148.0,16,"2.43 hrs",A
