"order_id","order_date","customer_id","region","sales_channel_id","product_id","units_sold","msrp","unit_price","discount_pct","net_unit_price","return_flag","return_date","delivery_date","attributed_campaign_id","order_id_clean","customer_id_clean","product_id_clean","sales_channel_id_clean","attributed_campaign_id_clean","order_dt","delivery_dt","return_dt","is_order_date_bad","is_delivery_date_bad","units_sold_num","is_units_sold_bad","unit_price_num","is_unit_price_bad","net_unit_price_num","is_net_unit_price_bad","discount_pct_num","is_discount_pct_bad","msrp_num","is_msrp_bad"
ORD-6739707,"2025-10-21",CUST-948343,EU,SC-003,PRD-49117,2,855.31,890.7,10,801.63,0,,"2025-10-24",CMP-745804,ORD-6739707,CUST-948343,PRD-49117,SC-003,CMP-745804,2025-10-21 00:00:00.000,2025-10-24 00:00:00.000,,0,0,2,0,890.7,0,801.63,0,10,0,855.31,0
ORD-1814844,"2025-09-28",CUST-651499,EU,SC-002,PRD-10074,1,239.39,245.47,0,245.47,0,,"2025-09-28",,ORD-1814844,CUST-651499,PRD-10074,SC-002,,2025-09-28 00:00:00.000,2025-09-28 00:00:00.000,,0,0,1,0,245.47,0,245.47,0,0,0,239.39,0
ORD-5185677,"2025-05-11",CUST-461888,APAC,SC-004,PRD-25129,1,838.06,846.24,0,846.24,0,,"2025-05-16",,ORD-5185677,CUST-461888,PRD-25129,SC-004,,2025-05-11 00:00:00.000,2025-05-16 00:00:00.000,,0,0,1,0,846.24,0,846.24,0,0,0,838.06,0
ORD-4746570,"2024-01-31",CUST-559023,LATAM,SC-003,PRD-81511,1,840.55,949.55,5,902.07,0,,"2024-02-02",,ORD-4746570,CUST-559023,PRD-81511,SC-003,,2024-01-31 00:00:00.000,2024-02-02 00:00:00.000,,0,0,1,0,949.55,0,902.07,0,5,0,840.55,0
ORD-2156902,"2025-04-14",CUST-352528,APAC,SC-005,PRD-25906,1,211.55,203.71,0,203.71,0,,"2025-04-20",,ORD-2156902,CUST-352528,PRD-25906,SC-005,,2025-04-14 00:00:00.000,2025-04-20 00:00:00.000,,0,0,1,0,203.71,0,203.71,0,0,0,211.55,0
ORD-8570337,"2025-08-19",CUST-481995,EU,SC-001,PRD-99353,1,201.04,200.14,15,170.12,0,,"2025-08-22",CMP-839916,ORD-8570337,CUST-481995,PRD-99353,SC-001,CMP-839916,2025-08-19 00:00:00.000,2025-08-22 00:00:00.000,,0,0,1,0,200.14,0,170.12,0,15,0,201.04,0
ORD-6735246,"2025-09-28",CUST-766158,EU,SC-001,PRD-74799,1,378.59,334.0,10,300.6,0,,"2025-09-30",CMP-472235,ORD-6735246,CUST-766158,PRD-74799,SC-001,CMP-472235,2025-09-28 00:00:00.000,2025-09-30 00:00:00.000,,0,0,1,0,334.0,0,300.6,0,10,0,378.59,0
ORD-5638109,"2025-06-30",CUST-613117,LATAM,SC-003,PRD-66155,1,264.69,283.12,10,254.81,0,,"2025-07-01",,ORD-5638109,CUST-613117,PRD-66155,SC-003,,2025-06-30 00:00:00.000,2025-07-01 00:00:00.000,,0,0,1,0,283.12,0,254.81,0,10,0,264.69,0
ORD-9219991,"2025-07-13",CUST-427766,APAC,SC-001,PRD-17100,1,301.78,287.32,5,272.95,0,,"2025-07-18",,ORD-9219991,CUST-427766,PRD-17100,SC-001,,2025-07-13 00:00:00.000,2025-07-18 00:00:00.000,,0,0,1,0,287.32,0,272.95,0,5,0,301.78,0
ORD-5226561,"2024-10-06",CUST-527809,,SC-002,PRD-79822,1,642.0,682.72,0,682.72,0,,"2024-10-06",CMP-426905,ORD-5226561,CUST-527809,PRD-79822,SC-002,CMP-426905,2024-10-06 00:00:00.000,2024-10-06 00:00:00.000,,0,0,1,0,682.72,0,682.72,0,0,0,642.0,0
