"claim_id","claim_date","order_id","device_id","issue_type","severity","warranty_approved","replacement_ship_days","notes","order_id_clean","device_id_clean","claim_dt","is_order_prefix_bad"
CLM-713467865,"2025-07-08",ORD-5769418,DEV-6376313776,Software,low,1.0,,no fault found,ORD-5769418,dev-6376313776,2025-07-08 00:00:00.000,0
CLM-881997303,"2025-01-05",ORD-5949722,DEV-9438433486,Battery,low,0.0,,customer reports intermittent issue,ORD-5949722,dev-9438433486,2025-01-05 00:00:00.000,0
CLM-606125735,"2024-10-11",ORD-6325265,DEV-5978415556,Connectivity,low,1.0,10.0,customer reports intermittent issue,ORD-6325265,dev-5978415556,2024-10-11 00:00:00.000,0
CLM-214226755,"2024-11-15",ORD-8193067,DEV-4298728712,Sound Distortion,low,1.0,5.0,no fault found,ORD-8193067,dev-4298728712,2024-11-15 00:00:00.000,0
CLM-559793936,"2025-11-24",ORD-6989312,DEV-9542190821,Software,med,1.0,7.0,customer reports intermittent issue,ORD-6989312,dev-9542190821,2025-11-24 00:00:00.000,0
CLM-459758935,"2025-07-13",ORD-3081068,DEV-8502615799,Software,high,0.0,3.0,repeat failure,ORD-3081068,dev-8502615799,2025-07-13 00:00:00.000,0
CLM-392229518,"2024-11-13",ORD-6226104,DEV-8917580971,Sound Distortion,,1.0,3.0,,ORD-6226104,dev-8917580971,2024-11-13 00:00:00.000,0
CLM-324220591,"2025-08-07",ORD-4288287,DEV-2686888206,,,1.0,5.0,customer reports intermittent issue,ORD-4288287,dev-2686888206,2025-08-07 00:00:00.000,0
CLM-141877861,"2025-10-17",ORD-3042023,DEV-7519430020,,high,1.0,7.0,,ORD-3042023,dev-7519430020,2025-10-17 00:00:00.000,0
CLM-342333925,"2025-12-14",ORD-7054598,DEV-3417615747,Software,low,1.0,7.0,customer reports intermittent issue,ORD-7054598,dev-3417615747,2025-12-14 00:00:00.000,0
CLM-129289374,"2024-12-30",ORD-9954050,DEV-1108393907,Sound Distortion,med,0.0,7.0,customer reports intermittent issue,ORD-9954050,dev-1108393907,2024-12-30 00:00:00.000,0
CLM-190369971,"2025-11-04",ORD-2647718,DEV-2510645737,Overheating,low,1.0,5.0,customer reports intermittent issue,ORD-2647718,dev-2510645737,2025-11-04 00:00:00.000,0
CLM-843856762,"2025-07-16",ORD-7250446,DEV-7447635471,Connectivity,low,1.0,7.0,needs firmware,ORD-7250446,dev-7447635471,2025-07-16 00:00:00.000,0
CLM-446388661,"2025-06-14",ORD-9077589,DEV-7459066444,Mic issues,low,0.0,5.0,customer reports intermittent issue,ORD-9077589,dev-7459066444,2025-06-14 00:00:00.000,0
CLM-273432699,"2024-06-08",ORD-6458906,DEV-6075646820,,low,1.0,5.0,repeat failure,ORD-6458906,dev-6075646820,2024-06-08 00:00:00.000,0
CLM-152629362,"2025-05-26",ORD-9140144,DEV-3153681540,Software,low,1.0,5.0,no fault found,ORD-9140144,dev-3153681540,2025-05-26 00:00:00.000,0
CLM-716250882,"2024-06-24",ORD-9311581,DEV-9685140239,Connectivity,med,0.0,2.0,needs firmware,ORD-9311581,dev-9685140239,2024-06-24 00:00:00.000,0
CLM-550875033,"2025-08-16",ORD-5546177,DEV-5969760256,Battery,low,1.0,3.0,customer reports intermittent issue,ORD-5546177,dev-5969760256,2025-08-16 00:00:00.000,0
CLM-276495675,"2025-05-29",ORD-3889033,DEV-5845751559,Sound Distortion,low,1.0,,repeat failure,ORD-3889033,dev-5845751559,2025-05-29 00:00:00.000,0
CLM-778642778,"2025-12-18",ORD-6935879,DEV-7702435323,Sound Distortion,med,1.0,3.0,needs firmware,ORD-6935879,dev-7702435323,2025-12-18 00:00:00.000,0
CLM-464468875,"2024-05-09",ORD-6562156,DEV-1788855979,Connectivity,low,0.0,7.0,no fault found,ORD-6562156,dev-1788855979,2024-05-09 00:00:00.000,0
CLM-239965848,"2024-04-29",ORD-1271357,DEV-5071572251,Software,low,1.0,2.0,,ORD-1271357,dev-5071572251,2024-04-29 00:00:00.000,0
CLM-529648243,"2025-03-24",ORD-5832475,DEV-1065877492,Physical Damage,med,,5.0,,ORD-5832475,dev-1065877492,2025-03-24 00:00:00.000,0
CLM-859571035,"2025-08-24",ORD-7946257,DEV-6831373929,Physical Damage,low,1.0,3.0,customer reports intermittent issue,ORD-7946257,dev-6831373929,2025-08-24 00:00:00.000,0
CLM-248107377,"2024-03-29",ORD-6347006,DEV-7750735836,Mic issues,critical,1.0,,no fault found,ORD-6347006,dev-7750735836,2024-03-29 00:00:00.000,0
CLM-332283588,"2024-02-19",ORD-9743375,DEV-1657972270,Battery,high,,2.0,,ORD-9743375,dev-1657972270,2024-02-19 00:00:00.000,0
CLM-174885099,"2025-08-08",ORD-8876923,DEV-8782781864,Software,med,1.0,5.0,,ORD-8876923,dev-8782781864,2025-08-08 00:00:00.000,0
CLM-135307852,"2024-12-12",ORD-6658429,DEV-5530042120,Software,low,1.0,5.0,,ORD-6658429,dev-5530042120,2024-12-12 00:00:00.000,0
CLM-364187667,"2025-09-08",ORD-5659990,DEV-1616533758,Overheating,high,1.0,5.0,repeat failure,ORD-5659990,dev-1616533758,2025-09-08 00:00:00.000,0
CLM-601465600,"2025-12-20",ORD-1522825,DEV-6427239597,Physical Damage,low,1.0,7.0,no fault found,ORD-1522825,dev-6427239597,2025-12-20 00:00:00.000,0
CLM-371531607,"2024-09-04",ORD-7500511,DEV-8993261834,Sound Distortion,low,1.0,3.0,customer reports intermittent issue,ORD-7500511,dev-8993261834,2024-09-04 00:00:00.000,0
CLM-726906178,"2024-11-03",ORD-5044020,DEV-7255714103,Connectivity,med,0.0,5.0,customer reports intermittent issue,ORD-5044020,dev-7255714103,2024-11-03 00:00:00.000,0
CLM-667815798,"2025-10-08",ORD-4051414,DEV-7356537389,Connectivity,high,1.0,5.0,customer reports intermittent issue,ORD-4051414,dev-7356537389,2025-10-08 00:00:00.000,0
CLM-269757703,"2025-02-09",ORD-9809610,DEV-3887367173,Overheating,med,1.0,3.0,repeat failure,ORD-9809610,dev-3887367173,2025-02-09 00:00:00.000,0
CLM-121471120,"2025-04-25",ORD-6748512,DEV-4014243269,Mic issues,high,0.0,5.0,customer reports intermittent issue,ORD-6748512,dev-4014243269,2025-04-25 00:00:00.000,0
CLM-728750153,"2024-11-26",ORD-4279299,DEV-6012217942,Software,med,1.0,7.0,needs firmware,ORD-4279299,dev-6012217942,2024-11-26 00:00:00.000,0
CLM-732528557,"08/19/2025",ORD-7870755,DEV-2852383853,Software,med,1.0,10.0,customer reports intermittent issue,ORD-7870755,dev-2852383853,2025-08-19 00:00:00.000,0
CLM-852986979,"2025-09-02",ORD-1861456,DEV-5616598701,Battery,low,1.0,5.0,customer reports intermittent issue,ORD-1861456,dev-5616598701,2025-09-02 00:00:00.000,0
CLM-118278332,"2025-01-08",ORD-2693436,DEV-7157631429,Physical Damage,high,1.0,2.0,no fault found,ORD-2693436,dev-7157631429,2025-01-08 00:00:00.000,0
CLM-664539118,"2025-02-14",ORD-1251766,DEV-6414762721,Connectivity,high,0.0,2.0,repeat failure,ORD-1251766,dev-6414762721,2025-02-14 00:00:00.000,0
CLM-318407156,"2025-11-03",ORD-8774351,DEV-1652147887,,high,0.0,,,ORD-8774351,dev-1652147887,2025-11-03 00:00:00.000,0
CLM-725707958,"2024-12-12",ORD-2009121,DEV-9164718693,Software,med,,5.0,customer reports intermittent issue,ORD-2009121,dev-9164718693,2024-12-12 00:00:00.000,0
CLM-241138735,"2024-08-06",ORD-3440925,DEV-6221968625,Connectivity,low,1.0,10.0,customer reports intermittent issue,ORD-3440925,dev-6221968625,2024-08-06 00:00:00.000,0
CLM-505822650,"12/01/2024",ORD-8355633,DEV-7704291686,Physical Damage,high,1.0,,no fault found,ORD-8355633,dev-7704291686,2024-12-01 00:00:00.000,0
CLM-799430870,"2024-06-04",ORD-4694894,DEV-8403776650,Software,low,0.0,5.0,customer reports intermittent issue,ORD-4694894,dev-8403776650,2024-06-04 00:00:00.000,0
CLM-914145762,"2025-08-20",ORD-3443127,DEV-2481565033,Software,med,1.0,3.0,,ORD-3443127,dev-2481565033,2025-08-20 00:00:00.000,0
CLM-465554740,"2024-11-27",ORD-4434447,DEV-1061607195,Battery,med,1.0,3.0,,ORD-4434447,dev-1061607195,2024-11-27 00:00:00.000,0
CLM-719305828,"2024-05-27",ORD-1443839,DEV-6109155930,Physical Damage,high,1.0,3.0,customer reports intermittent issue,ORD-1443839,dev-6109155930,2024-05-27 00:00:00.000,0
CLM-243665838,"2025-02-19",OR-9008375,DEV-8306085746,,low,0.0,3.0,repeat failure,OR-9008375,dev-8306085746,2025-02-19 00:00:00.000,1
CLM-664223637,"2024-06-01",ORD-4372199,DEV-5692994565,Connectivity,critical,1.0,3.0,customer reports intermittent issue,ORD-4372199,dev-5692994565,2024-06-01 00:00:00.000,0
CLM-635318412,"2024-08-08",ORD-8415787,DEV-5849922957,Software,low,1.0,3.0,needs firmware,ORD-8415787,dev-5849922957,2024-08-08 00:00:00.000,0
CLM-338653532,"2024-06-15",ORD-1071862,DEV-3243541754,Sound Distortion,med,1.0,7.0,,ORD-1071862,dev-3243541754,2024-06-15 00:00:00.000,0
CLM-984082419,"2024-01-01",ORD-5757801,DEV-2442686017,Connectivity,high,,2.0,,ORD-5757801,dev-2442686017,2024-01-01 00:00:00.000,0
CLM-335976397,"2024-10-27",ORD-4223149,DEV-1900814340,Software,high,0.0,3.0,customer reports intermittent issue,ORD-4223149,dev-1900814340,2024-10-27 00:00:00.000,0
CLM-813968972,"2025-02-26",ORD-1965354,DEV-9147219136,Connectivity,low,1.0,5.0,customer reports intermittent issue,ORD-1965354,dev-9147219136,2025-02-26 00:00:00.000,0
CLM-246636876,"2025-01-08",ORD-3210858,DEV-1419310009,Connectivity,low,1.0,3.0,needs firmware,ORD-3210858,dev-1419310009,2025-01-08 00:00:00.000,0
CLM-363620338,"2025-10-23",ORD-5003750,DEV-9880581242,Connectivity,med,1.0,5.0,,ORD-5003750,dev-9880581242,2025-10-23 00:00:00.000,0
CLM-710486288,"2025-08-05",ORD-4616065,DEV-5239018130,Physical Damage,critical,1.0,5.0,customer reports intermittent issue,ORD-4616065,dev-5239018130,2025-08-05 00:00:00.000,0
CLM-876408584,"2025-11-26",ORD-2240285,DEV-1007843182,Software,critical,1.0,10.0,customer reports intermittent issue,ORD-2240285,dev-1007843182,2025-11-26 00:00:00.000,0
CLM-214887188,"2025-12-19",ORD-7921243,DEV-7587586398,Battery,high,1.0,7.0,no fault found,ORD-7921243,dev-7587586398,2025-12-19 00:00:00.000,0
CLM-263021800,"2025-03-23",ORD-6651435,DEV-3008993617,Physical Damage,med,1.0,2.0,customer reports intermittent issue,ORD-6651435,dev-3008993617,2025-03-23 00:00:00.000,0
CLM-211965575,"2024-06-24",ORD-8107026,DEV-1007843182,Connectivity,low,,3.0,customer reports intermittent issue,ORD-8107026,dev-1007843182,2024-06-24 00:00:00.000,0
CLM-760020304,"2024-07-23",ORD-8586307,DEV-3413089717,Software,med,1.0,10.0,,ORD-8586307,dev-3413089717,2024-07-23 00:00:00.000,0
CLM-907433347,"2025-06-08",ORD-3304609,DEV-9297601747,Physical Damage,med,1.0,10.0,customer reports intermittent issue,ORD-3304609,dev-9297601747,2025-06-08 00:00:00.000,0
CLM-453604911,"2025-05-29",ORD-1964078,DEV-9726790829,Software,med,0.0,5.0,customer reports intermittent issue,ORD-1964078,dev-9726790829,2025-05-29 00:00:00.000,0
CLM-896312561,"2025-10-23",OR-2038401,DEV-3584703554,Connectivity,med,1.0,7.0,customer reports intermittent issue,OR-2038401,dev-3584703554,2025-10-23 00:00:00.000,1
CLM-771529252,"2025-04-01",ORD-6538428,DEV-1007843182,Sound Distortion,med,1.0,5.0,repeat failure,ORD-6538428,dev-1007843182,2025-04-01 00:00:00.000,0
CLM-925611185,"2025-11-12",ORD-5676086,DEV-4657953422,Connectivity,med,1.0,,customer reports intermittent issue,ORD-5676086,dev-4657953422,2025-11-12 00:00:00.000,0
CLM-959273039,"2025-06-22",ORD-5392976,DEV-2285973746,,med,1.0,5.0,,ORD-5392976,dev-2285973746,2025-06-22 00:00:00.000,0
CLM-430245941,"2025-02-18",ORD-7276878,DEV-9583324551,Connectivity,high,1.0,5.0,customer reports intermittent issue,ORD-7276878,dev-9583324551,2025-02-18 00:00:00.000,0
CLM-424971746,"2024-03-04",ORD-9137396,DEV-4448781108,Overheating,low,1.0,7.0,customer reports intermittent issue,ORD-9137396,dev-4448781108,2024-03-04 00:00:00.000,0
CLM-543106303,"2025-09-22",ORD-1668383,DEV-8963868995,Software,med,1.0,7.0,customer reports intermittent issue,ORD-1668383,dev-8963868995,2025-09-22 00:00:00.000,0
CLM-762723274,"2025-07-22",ORD-4919622,DEV-4383631992,Physical Damage,low,1.0,10.0,repeat failure,ORD-4919622,dev-4383631992,2025-07-22 00:00:00.000,0
CLM-796538732,"2025-12-19",ORD-2127840,DEV-5619103195,Overheating,low,,2.0,needs firmware,ORD-2127840,dev-5619103195,2025-12-19 00:00:00.000,0
CLM-827908480,"2024-08-04",ORD-8709047,DEV-1637036957,Physical Damage,med,0.0,7.0,customer reports intermittent issue,ORD-8709047,dev-1637036957,2024-08-04 00:00:00.000,0
CLM-507134221,"2025-11-06",ORD-3525756,DEV-9874783747,,high,1.0,5.0,customer reports intermittent issue,ORD-3525756,dev-9874783747,2025-11-06 00:00:00.000,0
CLM-682725979,"2025-02-10",ORD-4372199,DEV-9687273981,Connectivity,med,0.0,10.0,customer reports intermittent issue,ORD-4372199,dev-9687273981,2025-02-10 00:00:00.000,0
CLM-896712608,"2024-10-07",ORD-8321422,DEV-6107179957,Connectivity,low,1.0,5.0,,ORD-8321422,dev-6107179957,2024-10-07 00:00:00.000,0
CLM-970827347,"2024-09-12",ORD-1175511,DEV-4477678631,Software,low,1.0,3.0,no fault found,ORD-1175511,dev-4477678631,2024-09-12 00:00:00.000,0
